	merge_cluster																															
CNAG_02657_1	1108279	1108284	6	utr3E	149.00	168.00	136.00	582.00	917.00	631.00	278.00	98.00	185.00	109.00	134.00	161.00	33.00	31.00	17.00	116.00	84.00	237.00	42.00	52.00	40.00	25.00	31.00	44.00	78.00	147.00	56.00	
CNAG_02661_1	1091805	1091808	4	utr5E	3.00	3.00	2.00	9.00	9.00	5.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02661_2	1092995	1092995	1	cdsI	0	0	0	1.00	5.00	1.00	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_02661_3	1093298	1093319	22	utr3E	0	0	0	1.00	10.00	2.00	4.00	1.00	1.00	6.00	2.00	3.00	5.00	2.00	2.00	1.00	3.00	5.00	4.00	8.00	7.00	20.00	9.00	7.00	8.00	7.00	5.00	
CNAG_02661_4	1093447	1093447	1	utr3E	0	0	0	2.00	3.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02661_5	1093450	1093450	1	utr3E	1.00	3.00	3.00	0	0	0	2.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02661_6	1093472	1093472	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	2.00	
CNAG_02661_7	1093532	1093532	1	utr3E	4.00	2.00	1.00	4.00	4.00	3.00	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	4.00	3.00	3.00	1.00	2.00	1.00	
CNAG_02663_1	1085532	1085532	1	utr3E	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02663_2	1085585	1085609	25	utr3E	6.00	5.00	8.00	11.00	43.00	26.00	5.00	1.00	4.00	4.00	5.00	4.00	1.00	8.00	2.00	3.00	2.00	3.00	2.00	6.00	2.00	14.00	9.00	14.00	4.00	4.00	6.00	
CNAG_02663_3	1085609	1085609	1	utr3E	6.00	5.00	8.00	0	0	0	5.00	1.00	4.00	4.00	5.00	4.00	1.00	8.00	2.00	3.00	2.00	3.00	2.00	6.00	2.00	0	0	0	0	0	0	
CNAG_02665_1	1079851	1079880	30	cdsE	9.00	14.00	10.00	2.00	8.00	3.00	4.00	1.00	1.00	2.00	1.00	1.00	5.00	7.00	3.00	3.00	1.00	1.00	7.00	5.00	6.00	0	0	0	1.00	1.00	1.00	
CNAG_02666_1	1077009	1077009	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	1.00	2.00	
CNAG_02666_2	1077454	1077463	10	utr3E	0	0	0	9.00	14.00	4.00	0	0	0	0	0	0	0	0	0	3.00	2.00	2.00	1.00	1.00	1.00	1.00	1.00	2.00	2.00	3.00	6.00	
CNAG_02667_1	1074871	1074871	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00	1.00	3.00	0	0	0	0	0	0	0	0	0	
CNAG_02667_2	1074985	1074999	15	utr3E	3.00	4.00	2.00	8.00	12.00	12.00	1.00	1.00	2.00	1.00	4.00	7.00	3.00	5.00	2.00	0	0	0	0	0	0	4.00	4.00	4.00	2.00	1.00	4.00	
CNAG_02673_1	1061447	1061595	149	utr3E	749.00	816.00	731.00	0	0	0	197.00	42.00	92.00	190.00	203.00	257.00	83.00	104.00	47.00	120.00	90.00	265.00	108.00	163.00	102.00	204.00	144.00	180.00	121.00	187.00	111.00	
CNAG_02676_1	1052081	1052146	66	utr3E	22.00	20.00	30.00	54.00	85.00	40.00	14.00	8.00	11.00	7.00	12.00	15.00	5.00	4.00	1.00	5.00	5.00	19.00	5.00	9.00	6.00	8.00	5.00	5.00	17.00	11.00	9.00	
CNAG_02677_1	1050277	1050311	35	utr3E	62.00	54.00	49.00	224.00	351.00	257.00	108.00	31.00	62.00	55.00	49.00	71.00	21.00	32.00	10.00	49.00	34.00	109.00	35.00	17.00	25.00	21.00	12.00	18.00	34.00	38.00	30.00	
CNAG_02679_1	1046211	1046229	19	utr3E	27.00	11.00	21.00	19.00	37.00	19.00	9.00	4.00	6.00	4.00	4.00	3.00	2.00	2.00	1.00	2.00	3.00	8.00	3.00	2.00	3.00	6.00	7.00	8.00	10.00	15.00	7.00	
CNAG_02679_2	1046325	1046348	24	utr3E	58.00	62.00	68.00	66.00	88.00	59.00	35.00	7.00	32.00	17.00	12.00	15.00	10.00	13.00	3.00	4.00	6.00	15.00	7.00	11.00	5.00	28.00	18.00	33.00	19.00	27.00	12.00	
CNAG_02679_3	1046400	1046405	6	utr3E	1.00	5.00	4.00	7.00	10.00	4.00	9.00	2.00	1.00	4.00	3.00	9.00	0	0	0	5.00	4.00	9.00	5.00	3.00	3.00	8.00	4.00	6.00	4.00	2.00	1.00	
CNAG_02682_1	1035758	1035761	4	utr3E	5.00	6.00	5.00	20.00	35.00	24.00	4.00	1.00	1.00	2.00	3.00	3.00	0	0	0	2.00	2.00	4.00	0	0	0	1.00	1.00	1.00	2.00	2.00	2.00	
CNAG_02682_2	1035761	1035761	1	utr3E	0	0	0	0	0	0	4.00	1.00	1.00	2.00	3.00	3.00	0	0	0	2.00	2.00	4.00	0	0	0	0	0	0	2.00	2.00	2.00	
CNAG_02684_1	1028402	1028457	56	utr3E	45.00	47.00	46.00	43.00	58.00	30.00	19.00	4.00	24.00	24.00	29.00	33.00	37.00	48.00	25.00	16.00	20.00	37.00	33.00	52.00	40.00	114.00	86.00	104.00	23.00	59.00	33.00	
CNAG_02687_1	1015473	1015497	25	utr3E	243.00	297.00	232.00	657.00	1164.00	748.00	409.00	92.00	215.00	173.00	154.00	250.00	48.00	64.00	22.00	153.00	115.00	366.00	59.00	70.00	54.00	3.00	4.00	5.00	75.00	102.00	57.00	
CNAG_02689_1	1010201	1010201	1	cdsE	2.00	5.00	2.00	2.00	4.00	3.00	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02689_2	1010795	1010800	6	utr3E	10.00	13.00	21.00	36.00	43.00	29.00	7.00	3.00	4.00	3.00	5.00	4.00	2.00	4.00	2.00	6.00	4.00	10.00	4.00	4.00	1.00	6.00	7.00	1.00	7.00	8.00	2.00	
CNAG_02690_1	1009577	1009588	12	utr3E	27.00	27.00	34.00	57.00	110.00	45.00	19.00	2.00	9.00	15.00	25.00	22.00	7.00	15.00	4.00	17.00	8.00	33.00	9.00	6.00	8.00	9.00	9.00	7.00	16.00	27.00	20.00	
CNAG_02690_2	1009657	1009661	5	utr3E	22.00	16.00	32.00	131.00	186.00	109.00	13.00	9.00	8.00	10.00	24.00	23.00	2.00	1.00	1.00	10.00	10.00	22.00	3.00	5.00	4.00	10.00	5.00	6.00	4.00	19.00	16.00	
CNAG_02691_1	1006520	1006520	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.00	5.00	2.00	1.00	1.00	1.00	
CNAG_02691_2	1007588	1007594	7	utr3E	2.00	1.00	2.00	0	0	0	0	0	0	4.00	5.00	9.00	0	0	0	3.00	3.00	2.00	0	0	0	18.00	15.00	9.00	0	0	0	
CNAG_02693_1	1004322	1004335	14	utr3E	73.00	60.00	59.00	82.00	89.00	84.00	163.00	30.00	94.00	28.00	23.00	56.00	4.00	10.00	3.00	30.00	30.00	65.00	2.00	5.00	3.00	5.00	4.00	3.00	19.00	37.00	12.00	
CNAG_02695_1	996146	996146	1	cdsE	1.00	1.00	1.00	1.00	5.00	2.00	2.00	2.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02695_2	996307	996318	12	cdsE	0	0	0	0	0	0	4.00	3.00	7.00	8.00	4.00	4.00	3.00	2.00	3.00	0	0	0	3.00	3.00	4.00	0	0	0	0	0	0	
CNAG_02695_3	996465	996473	9	cdsE	11.00	6.00	9.00	10.00	24.00	20.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02695_4	996553	996558	6	cdsE	3.00	6.00	2.00	10.00	29.00	11.00	6.00	5.00	7.00	2.00	5.00	3.00	0	0	0	1.00	3.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_02695_5	997476	997500	25	utr3E	18.00	18.00	17.00	26.00	37.00	14.00	12.00	5.00	8.00	7.00	9.00	14.00	8.00	7.00	3.00	6.00	3.00	9.00	3.00	9.00	3.00	0	0	0	2.00	9.00	7.00	
CNAG_02695_6	997570	997608	39	utr3E	4.00	4.00	7.00	27.00	36.00	30.00	5.00	2.00	2.00	0	0	0	0	0	0	3.00	3.00	10.00	0	0	0	0	0	0	2.00	1.00	1.00	
CNAG_02695_7	998229	998229	1	utr3E	8.00	8.00	3.00	1.00	6.00	3.00	0	0	0	1.00	3.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	2.00	
CNAG_02699_1	979636	979636	1	cdsE	3.00	4.00	10.00	7.00	20.00	21.00	6.00	2.00	4.00	1.00	7.00	3.00	4.00	3.00	1.00	2.00	2.00	11.00	3.00	5.00	1.00	1.00	1.00	3.00	2.00	3.00	2.00	
CNAG_02699_2	982629	982657	29	utr3E	4.00	5.00	3.00	11.00	21.00	14.00	154.00	39.00	117.00	85.00	83.00	130.00	115.00	120.00	55.00	88.00	99.00	184.00	104.00	106.00	79.00	39.00	43.00	77.00	64.00	90.00	54.00	
CNAG_02702_1	968072	968103	32	utr3E	47.00	50.00	50.00	88.00	157.00	100.00	39.00	6.00	22.00	12.00	16.00	31.00	8.00	16.00	5.00	11.00	10.00	27.00	12.00	11.00	5.00	8.00	7.00	12.00	39.00	48.00	34.00	
CNAG_02704_1	960097	960098	2	cdsE	20.00	20.00	13.00	47.00	52.00	43.00	24.00	3.00	18.00	7.00	10.00	18.00	6.00	4.00	5.00	5.00	5.00	22.00	10.00	9.00	5.00	0	0	0	7.00	10.00	6.00	
CNAG_02704_2	960098	960098	1	cdsE	0	0	0	0	0	0	24.00	3.00	18.00	7.00	10.00	18.00	6.00	4.00	5.00	5.00	5.00	22.00	0	0	0	0	0	0	7.00	10.00	6.00	
CNAG_02704_3	960180	960222	43	utr3E	41.00	32.00	26.00	73.00	124.00	71.00	80.00	17.00	42.00	42.00	50.00	63.00	21.00	18.00	7.00	33.00	42.00	83.00	18.00	30.00	24.00	5.00	10.00	11.00	29.00	49.00	30.00	
CNAG_02706_1	952314	952317	4	cdsE	30.00	28.00	21.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	5.00	1.00	0	0	0	0	0	0	
CNAG_02706_2	953326	953328	3	utr3E	14.00	13.00	13.00	3.00	11.00	5.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02707_1	949859	949859	1	utr5E	0	0	0	0	0	0	17.00	2.00	7.00	2.00	1.00	1.00	0	0	0	3.00	1.00	6.00	0	0	0	0	0	0	0	0	0	
CNAG_02709_1	947340	947385	46	utr3E	6.00	7.00	10.00	0	0	0	41.00	9.00	32.00	11.00	9.00	13.00	3.00	2.00	2.00	4.00	11.00	18.00	2.00	3.00	2.00	0	0	0	0	0	0	
CNAG_02713_1	935901	935924	24	utr3E	34.00	34.00	25.00	0	0	0	85.00	29.00	43.00	54.00	48.00	79.00	2.00	4.00	5.00	42.00	32.00	95.00	7.00	13.00	9.00	0	0	0	1.00	2.00	1.00	
CNAG_02715_1	933933	934012	80	utr3E	46.00	39.00	37.00	48.00	100.00	57.00	64.00	18.00	50.00	30.00	27.00	40.00	14.00	7.00	2.00	22.00	19.00	59.00	18.00	11.00	13.00	0	0	0	56.00	87.00	43.00	
CNAG_02716_1	926395	926398	4	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02716_2	930422	930441	20	utr3E	28.00	35.00	34.00	57.00	89.00	52.00	86.00	27.00	68.00	68.00	72.00	101.00	85.00	94.00	48.00	61.00	56.00	173.00	71.00	50.00	73.00	61.00	70.00	62.00	76.00	126.00	68.00	
CNAG_02718_1	924117	924140	24	utr3E	27.00	32.00	33.00	26.00	34.00	16.00	16.00	5.00	10.00	20.00	26.00	25.00	38.00	50.00	36.00	21.00	19.00	33.00	23.00	30.00	22.00	2.00	7.00	5.00	59.00	93.00	45.00	
CNAG_02719_1	916538	916546	9	utr5E	21.00	20.00	14.00	15.00	25.00	24.00	7.00	2.00	2.00	1.00	1.00	1.00	5.00	8.00	3.00	3.00	1.00	1.00	1.00	6.00	6.00	0	0	0	0	0	0	
CNAG_02719_2	920706	920706	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	
CNAG_02720_1	915437	915437	1	cdsE	6.00	8.00	6.00	36.00	46.00	42.00	19.00	4.00	11.00	8.00	7.00	6.00	3.00	6.00	3.00	5.00	7.00	10.00	3.00	4.00	3.00	18.00	7.00	17.00	11.00	16.00	5.00	
CNAG_02720_2	916028	916119	92	utr3E	100.00	109.00	119.00	471.00	753.00	542.00	281.00	71.00	166.00	55.00	60.00	97.00	23.00	38.00	18.00	58.00	59.00	179.00	48.00	58.00	22.00	173.00	123.00	171.00	132.00	223.00	137.00	
CNAG_02722_1	908157	908241	85	utr3E	212.00	264.00	273.00	0	0	0	109.00	27.00	52.00	58.00	96.00	114.00	51.00	46.00	29.00	30.00	29.00	100.00	45.00	56.00	38.00	22.00	17.00	17.00	26.00	38.00	27.00	
CNAG_02725_1	898778	898790	13	utr3E	264.00	295.00	217.00	503.00	723.00	498.00	308.00	61.00	142.00	124.00	152.00	185.00	39.00	72.00	30.00	106.00	75.00	242.00	50.00	60.00	42.00	24.00	25.00	34.00	100.00	216.00	141.00	
CNAG_02727_1	895661	895661	1	utr3E	3.00	2.00	10.00	15.00	15.00	11.00	14.00	2.00	4.00	7.00	2.00	6.00	1.00	5.00	3.00	3.00	1.00	11.00	7.00	4.00	3.00	0	0	0	8.00	10.00	2.00	
CNAG_02730_1	889727	889813	87	utr3E	34.00	27.00	26.00	49.00	54.00	43.00	13.00	7.00	14.00	16.00	22.00	19.00	7.00	12.00	10.00	14.00	9.00	41.00	17.00	11.00	17.00	12.00	6.00	11.00	15.00	37.00	16.00	
CNAG_02733_1	882821	882821	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	
CNAG_02733_2	882962	882976	15	utr3E	8.00	11.00	7.00	13.00	9.00	3.00	3.00	2.00	1.00	3.00	3.00	1.00	5.00	10.00	4.00	2.00	2.00	2.00	1.00	5.00	2.00	5.00	7.00	9.00	4.00	6.00	6.00	
CNAG_02733_3	882976	882976	1	utr3E	0	0	0	0	0	0	3.00	2.00	1.00	3.00	3.00	1.00	0	0	0	2.00	2.00	2.00	1.00	5.00	2.00	5.00	7.00	9.00	0	0	0	
CNAG_02735_1	878014	878014	1	utr5E	2.00	3.00	1.00	15.00	22.00	22.00	0	0	0	1.00	1.00	2.00	0	0	0	3.00	4.00	5.00	0	0	0	2.00	4.00	1.00	0	0	0	
CNAG_02735_2	879271	879274	4	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.00	5.00	9.00	0	0	0	
CNAG_02735_3	879456	879456	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	1.00	1.00	0	0	0	
CNAG_02738_1	874869	874900	32	utr3E	18.00	29.00	24.00	38.00	64.00	43.00	32.00	5.00	22.00	3.00	4.00	7.00	6.00	11.00	2.00	13.00	6.00	23.00	2.00	2.00	3.00	0	0	0	17.00	16.00	7.00	
CNAG_02738_2	874982	874982	1	utr3E	0	0	0	27.00	35.00	41.00	12.00	6.00	8.00	11.00	9.00	19.00	2.00	6.00	3.00	7.00	12.00	24.00	0	0	0	0	0	0	4.00	11.00	3.00	
CNAG_02741_1	869447	869480	34	utr3E	11.00	10.00	11.00	2.00	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02741_2	869525	869529	5	utr3E	0	0	0	0	0	0	25.00	6.00	16.00	7.00	10.00	15.00	9.00	10.00	4.00	18.00	7.00	21.00	9.00	8.00	5.00	8.00	4.00	9.00	5.00	15.00	8.00	
CNAG_02741_3	869529	869529	1	utr3E	0	0	0	0	0	0	0	0	0	7.00	10.00	15.00	9.00	10.00	4.00	18.00	7.00	21.00	9.00	8.00	5.00	8.00	4.00	9.00	5.00	15.00	8.00	
CNAG_02741_4	869591	869591	1	utr3E	0	0	0	3.00	3.00	5.00	0	0	0	1.00	2.00	1.00	0	0	0	2.00	3.00	3.00	0	0	0	0	0	0	0	0	0	
CNAG_02747_1	856138	856153	16	utr3E	10.00	11.00	5.00	0	0	0	0	0	0	3.00	3.00	4.00	1.00	2.00	2.00	12.00	2.00	6.00	3.00	3.00	8.00	0	0	0	3.00	5.00	4.00	
CNAG_02748_1	854299	854334	36	utr3E	1002.00	1129.00	1048.00	3049.00	4578.00	2825.00	1611.00	417.00	1013.00	1183.00	1196.00	1656.00	548.00	682.00	299.00	900.00	759.00	2211.00	524.00	594.00	570.00	748.00	617.00	1051.00	804.00	1694.00	847.00	
CNAG_02749_1	848659	848659	1	cdsE	0	0	0	0	0	0	3.00	1.00	1.00	0	0	0	2.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02749_2	849557	849557	1	cdsE	1.00	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02749_3	850128	850151	24	cdsE	0	0	0	7.00	7.00	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02749_4	850230	850230	1	cdsE	0	0	0	4.00	1.00	1.00	2.00	1.00	3.00	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	
CNAG_02749_5	850323	850335	13	cdsE	0	0	0	4.00	2.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	
CNAG_02749_6	850405	850405	1	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	3.00	1.00	0	0	0	0	0	0	0	0	0	
CNAG_02749_7	850451	850463	13	cdsE	0	0	0	0	0	0	3.00	2.00	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02749_8	850468	850468	1	cdsE	0	0	0	2.00	3.00	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02749_9	851828	851836	9	utr3E	0	0	0	16.00	17.00	9.00	7.00	4.00	5.00	1.00	4.00	8.00	2.00	1.00	1.00	4.00	5.00	8.00	2.00	2.00	3.00	1.00	1.00	2.00	5.00	9.00	3.00	
CNAG_02749_10	851836	851836	1	utr3E	0	0	0	0	0	0	7.00	4.00	5.00	1.00	4.00	8.00	2.00	1.00	1.00	4.00	5.00	8.00	2.00	2.00	3.00	0	0	0	0	0	0	
CNAG_02753_1	841792	841890	99	utr3E	21.00	27.00	24.00	58.00	112.00	70.00	78.00	17.00	61.00	63.00	61.00	81.00	14.00	27.00	12.00	34.00	36.00	99.00	22.00	36.00	26.00	40.00	39.00	48.00	52.00	84.00	38.00	
CNAG_02755_1	839443	839450	8	utr3E	80.00	94.00	89.00	0	0	0	75.00	24.00	64.00	26.00	36.00	62.00	19.00	22.00	10.00	19.00	22.00	67.00	15.00	32.00	29.00	0	0	0	35.00	48.00	23.00	
CNAG_02757_1	835672	835709	38	utr3E	94.00	73.00	63.00	57.00	48.00	30.00	18.00	3.00	13.00	10.00	16.00	19.00	10.00	15.00	3.00	3.00	6.00	11.00	27.00	21.00	16.00	28.00	24.00	29.00	75.00	157.00	74.00	
CNAG_02758_1	833425	833425	1	utr3E	0	0	0	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00	3.00	5.00	
CNAG_02761_1	827736	827762	27	utr3E	1690.00	1795.00	1645.00	5315.00	8518.00	6070.00	3009.00	571.00	1566.00	1057.00	1268.00	1705.00	281.00	411.00	135.00	873.00	588.00	1923.00	306.00	427.00	290.00	373.00	275.00	376.00	560.00	1124.00	641.00	
CNAG_02764_1	822870	822873	4	utr3E	2.00	9.00	9.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.00	14.00	7.00	
CNAG_02765_1	819338	819338	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00	3.00	1.00	
CNAG_02767_1	815519	815519	1	utr3E	1.00	1.00	3.00	4.00	11.00	3.00	0	0	0	3.00	1.00	6.00	0	0	0	5.00	2.00	4.00	0	0	0	0	0	0	0	0	0	
CNAG_02769_1	812841	812847	7	cdsE	0	0	0	0	0	0	14.00	4.00	11.00	0	0	0	2.00	7.00	4.00	5.00	5.00	6.00	2.00	2.00	1.00	0	0	0	3.00	10.00	2.00	
CNAG_02769_2	812937	812941	5	utr3E	13.00	23.00	13.00	57.00	48.00	27.00	23.00	10.00	18.00	13.00	10.00	19.00	5.00	2.00	2.00	5.00	7.00	21.00	2.00	1.00	2.00	2.00	2.00	3.00	9.00	9.00	8.00	
CNAG_02772_1	805092	805092	1	cdsE	0	0	0	0	0	0	2.00	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02772_2	805226	805227	2	utr3E	10.00	13.00	11.00	15.00	42.00	49.00	1.00	1.00	1.00	4.00	3.00	6.00	4.00	2.00	2.00	5.00	4.00	6.00	6.00	5.00	3.00	0	0	0	3.00	4.00	4.00	
CNAG_02772_3	805227	805227	1	utr3E	0	0	0	0	0	0	0	0	0	4.00	3.00	6.00	4.00	2.00	2.00	5.00	4.00	6.00	0	0	0	0	0	0	3.00	4.00	4.00	
CNAG_02779_1	783885	783891	7	utr3E	10.00	16.00	8.00	28.00	37.00	35.00	1.00	3.00	1.00	10.00	6.00	11.00	5.00	5.00	3.00	8.00	8.00	11.00	2.00	5.00	4.00	2.00	3.00	4.00	2.00	13.00	5.00	
CNAG_02779_2	784120	784120	1	utr3E	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02782_1	778335	778351	17	utr3E	20.00	17.00	12.00	33.00	39.00	22.00	58.00	23.00	41.00	26.00	31.00	42.00	8.00	30.00	9.00	18.00	22.00	73.00	29.00	20.00	21.00	18.00	13.00	28.00	34.00	66.00	39.00	
CNAG_02785_1	772842	772844	3	utr3E	46.00	59.00	59.00	165.00	228.00	152.00	73.00	20.00	40.00	24.00	25.00	39.00	14.00	12.00	5.00	24.00	26.00	64.00	19.00	35.00	16.00	0	0	0	11.00	7.00	4.00	
CNAG_02786_1	770028	770033	6	utr3E	66.00	50.00	47.00	69.00	117.00	65.00	57.00	14.00	36.00	19.00	23.00	43.00	15.00	19.00	14.00	15.00	15.00	41.00	22.00	14.00	13.00	0	0	0	19.00	37.00	14.00	
CNAG_02788_1	766169	766193	25	utr3E	9.00	6.00	6.00	10.00	6.00	6.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02788_2	766249	766295	47	utr3E	51.00	49.00	40.00	168.00	233.00	156.00	8.00	2.00	4.00	28.00	51.00	45.00	20.00	36.00	13.00	25.00	23.00	62.00	18.00	17.00	21.00	29.00	25.00	74.00	66.00	102.00	44.00	
CNAG_02790_1	760457	760458	2	utr5E	0	0	0	29.00	46.00	37.00	0	0	0	2.00	4.00	6.00	0	0	0	3.00	4.00	15.00	3.00	2.00	3.00	5.00	3.00	4.00	0	0	0	
CNAG_02790_2	760667	760690	24	cdsI	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	13.00	6.00	6.00	1.00	3.00	4.00	
CNAG_02790_3	761906	761907	2	utr3E	2.00	2.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02790_4	761967	762054	88	utr3E	6.00	6.00	8.00	48.00	62.00	18.00	4.00	2.00	1.00	2.00	2.00	2.00	0	0	0	3.00	5.00	7.00	5.00	2.00	4.00	0	0	0	5.00	3.00	3.00	
CNAG_02790_5	762115	762164	50	utr3E	3.00	3.00	3.00	21.00	26.00	10.00	8.00	2.00	8.00	4.00	11.00	6.00	5.00	6.00	4.00	7.00	13.00	14.00	2.00	7.00	5.00	12.00	7.00	14.00	24.00	44.00	19.00	
CNAG_02791_1	759263	759274	12	utr3E	51.00	47.00	53.00	74.00	134.00	80.00	26.00	9.00	13.00	6.00	7.00	10.00	3.00	9.00	6.00	3.00	2.00	7.00	6.00	11.00	10.00	5.00	1.00	4.00	11.00	8.00	9.00	
CNAG_02794_1	754061	754079	19	utr3E	554.00	573.00	495.00	857.00	1246.00	649.00	494.00	90.00	276.00	174.00	188.00	319.00	75.00	103.00	44.00	126.00	122.00	404.00	87.00	98.00	66.00	7.00	8.00	13.00	70.00	125.00	86.00	
CNAG_02796_1	751194	751226	33	utr3E	0	0	0	0	0	0	25.00	7.00	16.00	9.00	20.00	20.00	12.00	16.00	8.00	9.00	6.00	25.00	15.00	18.00	11.00	7.00	3.00	5.00	14.00	15.00	11.00	
CNAG_02799_1	745024	745038	15	utr3E	19.00	31.00	20.00	117.00	147.00	73.00	140.00	22.00	84.00	115.00	142.00	190.00	46.00	82.00	39.00	69.00	78.00	246.00	92.00	108.00	82.00	1.00	5.00	10.00	93.00	200.00	62.00	
CNAG_02800_1	740512	740513	2	cdsE	0	0	0	3.00	2.00	5.00	4.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02800_2	742092	742092	1	cdsE	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02800_3	742138	742138	1	utr3E	2.00	3.00	1.00	0	0	0	0	0	0	0	0	0	2.00	3.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02800_4	742234	742261	28	utr3E	0	0	0	3.00	10.00	4.00	0	0	0	0	0	0	4.00	3.00	1.00	0	0	0	2.00	2.00	3.00	0	0	0	0	0	0	
CNAG_02800_5	742264	742264	1	utr3E	0	0	0	0	0	0	0	0	0	1.00	1.00	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02800_6	742355	742360	6	utr3E	0	0	0	4.00	4.00	1.00	0	0	0	1.00	2.00	3.00	7.00	10.00	7.00	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02800_7	742360	742360	1	utr3E	0	0	0	4.00	4.00	1.00	0	0	0	1.00	2.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02800_8	742368	742368	1	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	2.00	1.00	0	0	0	0	0	0	
CNAG_02802_1	736488	736488	1	utr5E	0	0	0	3.00	5.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
CNAG_02802_2	737909	737909	1	utr3E	0	0	0	1.00	2.00	4.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	1.00	1.00	
