name	start	stop	size	strand	location	WT_Expo30_a	WT_Expo30_b	WT_Expo30_c	WT_Expo37_a	WT_Expo37_b	WT_Expo37_c	WT_Stat30_a	WT_Stat30_b	WT_Stat30_c	WT_Stat37_a	WT_Stat37_b	WT_Stat37_c	WT_Fluco30_a	WT_Fluco30_b	WT_Fluco30_c	WT_Gal30_a	WT_Gal30_b	WT_Gal30_c	WT_SDS30_a	WT_SDS30_b	WT_SDS30_c	WT_RPMI30_a	WT_RPMI30_b	WT_RPMI30_c	WT_RPMImacro30_a	WT_RPMImacro30_b	WT_RPMImacro30_c
CNAG_06526_2	14300	14311	12	+	utr3E	51	98	63	15	7	17	3	6	3	26	24	27	10	13	12	3	7	1	12	4	19	7	9	8	9	26	9
CNAG_06531_1	29477	29477	1	+	utr3E	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06531_2	29756	29756	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
CNAG_06533_1	37607	37635	29	+	utr3E	53	71	36	38	5	37	20	30	21	26	29	27	23	22	39	22	23	11	19	12	43	63	50	60	46	82	58
CNAG_06533_2	37765	37777	13	+	utr3E	577	715	357	244	65	150	113	145	108	257	309	273	196	183	250	141	180	87	133	111	318	259	203	277	260	354	207
CNAG_06534_1	43349	43413	65	+	utr3E	1341	1896	1259	557	138	343	147	175	132	398	454	420	415	474	758	182	202	94	204	146	499	201	149	263	426	638	434
CNAG_06535_1	45031	45082	52	+	utr3E	220	351	239	300	107	226	55	76	45	63	54	45	86	82	135	40	50	20	139	132	289	141	117	192	157	172	81
CNAG_06536_1	47344	47344	1	+	cdsE	1	1	2	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06536_2	47497	47527	31	+	utr3E	20	21	16	2	2	1	0	0	0	5	7	6	2	4	3	0	0	0	0	0	0	0	0	0	2	3	2
CNAG_06536_3	47527	47527	1	+	utr3E	0	0	0	2	2	1	0	0	0	0	0	0	2	4	3	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06548_1	82270	82298	29	+	utr3E	48	68	43	22	13	18	12	15	8	12	10	8	24	21	31	5	18	5	19	20	35	0	0	0	14	23	14
CNAG_06550_1	88329	88353	25	+	cdsE	22	35	12	9	5	2	4	3	2	14	12	3	5	8	3	0	0	0	2	1	6	0	0	0	1	1	1
CNAG_06550_2	90941	90965	25	+	utr3E	116	139	99	86	33	68	20	31	24	57	70	56	34	55	81	21	26	16	36	36	100	7	6	13	35	47	43
CNAG_06553_1	100306	100312	7	+	utr3E	65	103	51	19	6	14	7	11	4	30	41	28	18	13	24	5	3	1	3	6	13	11	4	7	8	9	3
CNAG_06555_1	105817	105846	30	+	utr3E	638	1037	527	182	33	126	45	57	57	235	248	272	107	142	190	63	89	24	95	74	218	21	20	54	253	265	200
CNAG_06557_1	110457	110504	48	+	utr3E	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	3
CNAG_06558_1	113077	113077	1	+	cdsE	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06558_2	113267	113271	5	+	utr3E	11	10	6	12	5	11	7	3	3	3	1	2	5	4	10	0	0	0	5	2	6	2	1	2	0	0	0
CNAG_06558_3	113271	113271	1	+	utr3E	0	0	0	0	0	0	0	0	0	3	1	2	5	4	10	0	0	0	5	2	6	2	1	2	0	0	0
CNAG_06560_1	117957	117965	9	+	utr3E	49	56	39	9	1	3	3	5	6	9	8	8	4	11	8	5	10	4	8	7	10	10	9	9	7	13	9
CNAG_06561_1	121690	121696	7	+	utr3E	3	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	3	10	11	13
CNAG_06564_1	132558	132563	6	+	utr3E	266	399	233	128	25	76	28	40	20	166	129	142	38	49	74	25	40	21	30	27	98	7	9	18	25	48	27
CNAG_06566_1	135854	135865	12	+	utr3E	62	111	58	165	40	83	40	40	43	30	34	40	104	105	160	33	43	31	72	55	200	2	2	4	73	96	47
CNAG_06570_1	150707	150729	23	+	utr3E	252	399	292	202	46	128	71	78	75	156	170	159	81	70	125	61	85	36	58	41	113	7	7	12	178	228	123
CNAG_06573_1	159416	159416	1	+	cdsE	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06573_2	163016	163025	10	+	utr3E	41	66	41	27	16	15	9	21	9	10	16	13	12	22	24	5	10	8	15	13	36	8	5	9	9	20	5
CNAG_06577_1	172076	172085	10	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06577_2	172374	172384	11	+	utr5E	12	9	13	0	0	0	0	0	0	2	2	3	0	0	0	1	2	1	0	0	0	10	7	3	14	14	6
CNAG_06577_3	174653	174665	13	+	utr3E	55	68	31	6	2	2	0	0	0	16	11	23	3	4	4	0	0	0	2	1	4	2	4	3	2	5	3
CNAG_06577_4	174726	174754	29	+	utr3E	143	153	105	28	9	13	31	29	23	57	69	57	19	31	26	22	19	10	14	9	33	44	34	40	24	31	34
CNAG_06578_1	176447	176468	22	+	utr3E	597	748	404	1307	312	914	603	630	457	418	402	324	938	939	1214	298	401	227	406	367	1209	1354	1038	2475	772	1732	1655
CNAG_06583_1	190065	190065	1	+	utr3E	11	18	11	1	1	1	0	0	0	2	1	1	0	0	0	0	0	0	2	3	8	25	17	31	8	24	8
CNAG_06585_1	194492	194492	1	+	cdsE	7	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06585_2	194655	194658	4	+	cdsE	18	20	19	24	8	16	14	11	13	11	9	9	9	16	26	11	22	6	12	9	35	7	8	11	6	10	8
CNAG_06585_3	200757	200795	39	+	utr3E	27	46	20	374	118	263	133	157	122	5	10	10	191	189	264	139	164	113	178	160	468	143	122	196	179	193	125
CNAG_06588_1	204585	204585	1	+	cdsE	2	3	2	1	1	2	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06588_2	204678	204692	15	+	cdsE	4	8	4	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1
CNAG_06588_3	206372	206372	1	+	utr3E	4	2	3	4	1	3	3	1	6	0	0	0	1	3	2	0	0	0	1	4	6	0	0	0	5	4	4
CNAG_06590_1	208964	208964	1	+	utr3E	4	4	1	1	1	1	0	0	0	0	0	0	2	2	2	0	0	0	3	1	6	0	0	0	0	0	0
CNAG_06590_2	209015	209043	29	+	utr3E	4	5	3	7	3	6	0	0	0	0	0	0	0	0	0	0	0	0	3	2	5	0	0	0	0	0	0
CNAG_06590_3	209629	209629	1	+	utr3E	4	4	7	0	0	0	0	0	0	17	12	25	5	1	1	2	7	4	0	0	0	0	0	0	9	7	2
CNAG_06591_1	213267	213276	10	+	cdsE	30	33	24	25	12	33	8	11	7	9	5	4	4	10	8	3	5	2	7	4	18	10	9	9	8	6	6
CNAG_06591_2	213343	213343	1	+	cdsE	7	11	2	14	2	10	8	4	4	5	5	1	4	6	11	4	8	1	3	3	24	3	4	3	5	12	4
CNAG_06591_3	214402	214408	7	+	cdsE	10	19	7	11	2	5	2	5	3	11	15	8	2	1	5	7	2	1	0	0	0	7	3	10	8	5	6
CNAG_06591_4	216218	216285	68	+	utr3E	203	307	204	121	41	97	39	55	39	79	84	60	46	73	105	50	48	22	54	56	133	42	36	58	41	48	32
CNAG_06592_1	218418	218501	84	+	utr3E	25	35	25	56	12	23	5	9	6	12	23	16	21	20	19	13	8	7	7	11	28	4	8	6	10	11	5
CNAG_06592_2	218600	218609	10	+	utr3E	12	12	12	19	9	6	23	16	20	4	3	7	15	19	22	9	19	6	17	13	35	26	12	27	20	21	24
CNAG_06593_1	219235	219252	18	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0
CNAG_06593_2	219300	219300	1	+	utr5E	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06593_3	219320	219320	1	+	utr5E	2	1	1	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	2	1	1	0	0	0	1	4	3
CNAG_06593_4	223168	223168	1	+	utr3E	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06593_5	223175	223175	1	+	utr3E	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06593_6	223254	223257	4	+	utr3E	2	9	4	0	0	0	0	0	0	0	0	0	3	2	1	0	0	0	1	3	4	0	0	0	6	13	10
CNAG_06595_1	226971	226971	1	+	cdsI	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06596_1	228574	228574	1	+	utr3E	0	0	0	3	1	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	2	3
CNAG_06596_2	228585	228585	1	+	utr3E	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	4	1	3	0	0	0	0	0	0
CNAG_06597_1	229088	229088	1	+	cdsE	0	0	0	7	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5	0	0	0	3	2	2
CNAG_06597_2	231505	231506	2	+	utr3E	26	28	26	56	15	37	10	22	8	5	5	3	30	27	39	8	27	5	26	18	58	2	1	3	20	24	17
CNAG_06598_1	231933	231933	1	+	utr5E	0	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06598_2	232601	232601	1	+	utr3E	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3
CNAG_06600_1	237876	237932	57	+	utr3E	0	0	0	110	27	86	43	67	39	43	49	43	89	71	108	47	68	28	51	44	106	70	55	52	38	56	48
CNAG_06601_1	241096	241107	12	+	utr3E	45	96	56	30	14	24	20	19	20	44	38	44	12	10	20	25	27	11	22	14	33	0	0	0	17	37	11
CNAG_06602_1	243437	243503	67	+	utr3E	22	41	27	0	0	0	2	7	4	24	41	32	6	4	6	4	8	2	0	0	0	3	4	7	6	7	4
CNAG_06602_2	243588	243643	56	+	utr3E	154	228	119	67	16	20	41	50	32	118	105	113	51	48	54	27	31	15	41	32	73	122	130	165	83	114	110
CNAG_06603_1	244687	244687	1	+	cdsI	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06603_2	248460	248516	57	+	utr3E	16	24	21	9	6	6	9	6	7	2	1	1	6	2	14	2	4	5	7	9	14	4	8	3	4	13	13
CNAG_06603_3	248567	248567	1	+	utr3E	6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	3	1
CNAG_06606_1	254628	254673	46	+	utr3E	47	69	42	20	3	12	8	18	7	24	40	28	15	18	17	10	8	5	10	10	31	38	20	32	53	57	74
CNAG_06606_2	255033	255055	23	+	utr3E	9	10	9	18	5	10	10	12	6	4	5	6	15	6	12	6	7	3	4	6	15	27	28	39	55	72	50
CNAG_06607_1	261660	261668	9	+	utr3E	74	134	78	47	14	47	18	18	14	29	31	26	24	27	31	21	33	10	32	31	89	0	0	0	36	74	58
CNAG_06607_2	261732	261732	1	+	utr3E	1	2	1	8	2	3	2	2	3	0	0	0	5	3	5	1	3	4	4	4	9	3	1	1	4	5	12
CNAG_06608_1	266410	266410	1	+	utr3E	7	8	7	20	4	10	2	4	2	3	6	5	3	4	3	0	0	0	0	0	0	0	0	0	4	4	8
CNAG_06608_2	266499	266499	1	+	utr3E	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06608_3	266553	266619	67	+	utr3E	12	16	19	51	22	43	4	8	6	3	2	1	32	26	29	4	7	4	20	22	66	0	0	0	18	32	20
CNAG_06613_1	281719	281725	7	+	utr3E	233	341	252	151	39	85	51	55	24	112	160	103	69	81	111	37	40	28	52	47	116	36	17	38	42	86	56
CNAG_06614_1	284985	284985	1	+	cdsE	0	0	0	1	1	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06614_2	285315	285358	44	+	utr3E	60	78	58	20	6	11	35	50	35	81	105	126	5	4	5	27	39	12	7	7	19	52	40	35	11	10	17
CNAG_06616_1	287320	287320	1	+	cdsE	4	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06616_2	287939	287975	37	+	cdsE	3	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06616_3	289052	289097	46	+	cdsE	4	6	5	0	0	0	4	2	3	0	0	0	1	1	5	2	3	1	0	0	0	3	2	3	0	0	0
CNAG_06616_4	289184	289216	33	+	utr3E	10	18	5	21	7	14	13	17	18	9	4	5	18	19	24	11	14	8	19	11	31	17	10	23	5	33	18
CNAG_06620_1	297093	297093	1	+	utr5E	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06620_2	299918	299920	3	+	utr3E	72	104	47	50	17	49	26	31	21	17	11	21	27	34	49	30	40	19	24	26	85	12	10	11	37	49	14
CNAG_06622_1	303885	303885	1	+	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
CNAG_06622_2	304168	304168	1	+	cdsI	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06622_3	304638	304735	98	+	utr3E	13	23	11	32	15	16	70	68	56	28	30	38	11	4	10	72	116	43	8	8	17	11	6	6	87	96	47
CNAG_06623_1	308147	308180	34	+	utr3E	542	771	400	467	102	191	46	95	57	525	560	437	78	126	143	92	114	42	110	95	232	3383	2148	3306	938	3595	2655
CNAG_06624_1	310259	310262	4	+	cdsE	3	2	4	1	1	1	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06626_1	315159	315167	9	+	utr3E	387	480	322	218	67	160	35	41	38	98	89	75	80	74	108	15	46	20	64	74	201	103	94	119	53	121	76
CNAG_06631_1	326544	326544	1	+	cdsE	2	6	5	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06631_2	327016	327016	1	+	cdsE	0	0	0	0	0	0	0	0	0	1	1	3	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06631_3	327563	327563	1	+	cdsE	2	11	5	3	3	8	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06631_4	329210	329220	11	+	utr3E	42	53	37	6	3	10	0	0	0	14	12	11	4	5	3	5	1	1	2	2	19	0	0	0	1	3	2
CNAG_06631_5	329220	329220	1	+	utr3E	42	53	37	6	3	10	0	0	0	0	0	0	4	5	3	5	1	1	2	2	19	0	0	0	1	3	2
CNAG_06631_6	329223	329223	1	+	utr3E	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06635_1	338428	338431	4	+	cdsE	7	12	7	5	2	2	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06635_2	338975	338991	17	+	cdsE	3	9	7	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
CNAG_06635_3	340665	340675	11	+	utr3E	34	42	41	21	8	5	9	6	5	4	5	4	10	21	12	6	4	3	10	12	23	0	0	0	6	9	5
CNAG_06635_4	340750	340750	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	0	0	0	2	1	1
CNAG_06635_5	340753	340753	1	+	utr3E	0	0	0	2	2	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0
CNAG_06636_1	344493	344493	1	+	utr3E	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06640_1	359134	359174	41	+	utr3E	111	180	86	51	18	32	71	59	50	67	101	62	47	48	77	55	80	30	32	38	86	147	118	146	40	81	43
CNAG_06642_1	369979	370131	153	+	utr3E	296	424	248	137	32	85	47	63	50	271	262	238	26	42	82	41	58	25	26	27	92	33	36	39	88	136	102
CNAG_06643_1	371815	371815	1	+	cdsE	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06643_2	371978	371978	1	+	utr3E	8	17	10	2	1	5	0	0	0	10	5	8	3	3	1	0	0	0	2	2	7	0	0	0	2	1	2
CNAG_06643_3	372238	372238	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06645_1	377007	377060	54	+	utr3E	576	905	799	339	76	207	45	59	41	170	206	155	105	128	184	38	57	26	131	98	287	18	14	26	92	148	86
CNAG_06647_1	381607	381607	1	+	utr3E	5	12	9	46	8	26	25	19	10	3	5	2	10	16	20	22	26	12	14	18	51	0	0	0	21	28	17
CNAG_06647_2	381790	381874	85	+	utr3E	0	0	0	14	6	13	14	13	9	13	17	16	11	13	19	9	25	15	14	23	42	1	2	1	17	31	19
CNAG_06648_1	384221	384225	5	+	utr3E	299	363	274	378	83	222	94	112	88	133	160	147	158	150	258	88	94	59	140	109	367	14	10	38	138	153	107
CNAG_06653_1	394457	394467	11	+	utr3E	1	1	2	0	0	0	4	1	1	0	0	0	0	0	0	0	0	0	2	2	5	0	0	0	6	9	6
CNAG_06654_1	395640	395646	7	+	utr3E	4	9	12	10	3	8	3	7	6	7	1	2	8	3	10	6	5	3	5	6	18	0	0	0	6	2	3
CNAG_06654_2	395646	395646	1	+	utr3E	4	9	12	10	3	8	0	0	0	7	1	2	8	3	10	0	0	0	0	0	0	0	0	0	6	2	3
CNAG_06654_3	395706	395726	21	+	utr3E	12	16	13	0	0	0	0	0	0	1	2	1	3	2	3	0	0	0	3	3	3	0	0	0	0	0	0
CNAG_06654_4	395726	395726	1	+	utr3E	0	0	0	0	0	0	0	0	0	1	2	1	3	2	3	0	0	0	3	3	3	0	0	0	0	0	0
CNAG_06656_1	398911	398917	7	+	utr3E	246	310	216	148	33	85	25	22	20	49	46	45	57	59	95	19	37	9	53	44	141	17	15	28	46	47	26
CNAG_06658_1	401741	401741	1	+	cdsI	13	4	5	3	1	2	3	2	1	1	4	6	1	4	2	2	2	1	3	1	3	0	0	0	0	0	0
CNAG_06658_2	403063	403064	2	+	utr3E	64	106	79	13	5	7	7	10	11	15	22	30	9	8	20	3	3	3	6	2	3	11	11	2	17	10	6
CNAG_06661_1	412494	412512	19	+	utr3E	61	74	57	18	6	14	2	3	3	38	19	27	11	12	20	4	3	4	7	7	26	0	0	0	5	9	6
CNAG_06661_2	412627	412650	24	+	utr3E	23	32	29	21	8	9	1	3	5	5	7	6	9	11	21	0	0	0	6	12	16	0	0	0	11	7	3
CNAG_06663_1	415980	416007	28	+	utr3E	11649	18911	12563	4829	1113	2778	837	1167	767	2797	3518	3239	1674	2327	3036	720	1107	472	2166	1449	4030	399	256	379	786	1044	643
CNAG_06665_1	420557	420603	47	+	utr3E	4	12	13	5	2	2	0	0	0	1	1	2	2	4	5	7	4	6	4	6	9	0	0	0	4	6	1
CNAG_06666_1	425502	425596	95	+	utr3E	284	390	149	56	13	32	223	234	187	514	561	525	49	73	75	208	298	131	103	105	269	76	51	40	242	320	116
CNAG_06669_1	429439	429439	1	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06669_2	429594	429594	1	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06669_3	430518	430532	15	+	utr3E	260	420	319	131	23	66	35	37	26	192	204	177	52	74	105	17	24	4	37	28	91	1	1	3	18	32	21
CNAG_06671_1	432278	432278	1	+	utr5E	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06671_2	433713	433713	1	+	cdsE	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06671_3	435907	435907	1	+	utr3E	3	9	1	0	0	0	2	1	1	5	6	3	0	0	0	0	0	0	2	1	3	2	3	1	3	2	1
CNAG_06671_4	435951	435951	1	+	utr3E	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06671_5	436016	436017	2	+	utr3E	37	54	23	10	3	6	1	7	3	9	9	11	6	10	9	2	3	2	2	5	8	6	2	11	4	9	5
CNAG_06672_1	437727	437727	1	+	utr5E	3	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06672_2	438162	438162	1	+	cdsE	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06672_3	439748	439791	44	+	utr3E	6	4	2	0	0	0	1	4	5	83	72	80	0	0	0	5	10	6	2	2	1	0	0	0	29	14	8
CNAG_06673_1	441906	441952	47	+	utr3E	75	118	44	32	9	11	11	7	7	45	49	35	26	21	35	6	9	8	18	9	32	20	12	16	23	52	26
CNAG_06673_2	442047	442047	1	+	utr3E	21	18	17	0	0	0	1	3	2	11	5	8	3	5	4	0	0	0	3	4	6	1	3	1	2	3	7
CNAG_06675_1	449179	449192	14	+	cdsE	7	26	11	12	5	4	0	0	0	5	5	4	2	4	3	1	6	1	1	2	2	0	0	0	2	3	3
CNAG_06675_2	449192	449192	1	+	cdsE	0	0	0	12	5	4	0	0	0	5	5	4	2	4	3	1	6	1	1	2	2	0	0	0	2	3	3
CNAG_06675_3	452312	452318	7	+	utr3E	71	109	58	21	9	25	8	8	16	18	24	30	17	28	35	7	16	5	7	12	35	0	0	0	12	14	5
CNAG_06679_1	461255	461268	14	+	utr3E	191	252	200	123	22	71	21	22	14	165	153	111	44	41	71	18	23	10	29	22	70	4	3	10	24	47	29
CNAG_06681_1	466966	466967	2	+	utr3E	75	136	53	45	11	24	19	20	16	27	30	24	15	21	34	19	26	12	17	13	37	5	2	7	10	21	19
CNAG_06681_2	466967	466967	1	+	utr3E	0	0	0	0	0	0	19	20	16	27	30	24	15	21	34	0	0	0	17	13	37	5	2	7	10	21	19
CNAG_06684_1	482800	482800	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0
CNAG_06686_1	485982	485982	1	+	utr5E	3	10	6	12	2	2	3	1	3	0	0	0	2	6	3	1	3	3	0	0	0	0	0	0	5	4	1
CNAG_06686_2	486241	486245	5	+	cdsE	4	14	6	2	1	1	1	2	1	0	0	0	0	0	0	0	0	0	4	3	8	0	0	0	0	0	0
CNAG_06686_3	486952	486984	33	+	utr3E	8	21	17	0	0	0	0	0	0	5	5	5	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06686_4	487057	487057	1	+	utr3E	4	20	9	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	1	2	8	0	0	0	0	0	0
CNAG_06688_1	495648	495653	6	+	cdsE	21	32	12	6	2	3	2	1	2	27	20	23	0	0	0	0	0	0	0	0	0	4	1	2	3	9	6
CNAG_06688_2	496741	496774	34	+	utr3E	5	15	10	2	1	2	0	0	0	7	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06688_3	496863	496864	2	+	utr3E	19	20	10	0	0	0	1	2	1	17	13	6	0	0	0	5	3	1	0	0	0	0	0	0	0	0	0
CNAG_06688_4	496918	496922	5	+	utr3E	213	274	182	41	14	20	51	51	43	99	110	122	28	32	51	22	51	19	30	30	63	44	31	36	48	63	23
CNAG_06690_1	500245	500245	1	+	cdsE	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06690_2	501463	501514	52	+	utr3E	8	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06690_3	501565	501566	2	+	utr3E	17	32	8	6	1	2	2	4	1	5	7	6	4	3	12	1	4	2	3	4	14	0	0	0	3	8	3
CNAG_06692_1	506352	506400	49	+	utr3E	79	133	58	15	4	13	11	16	8	55	43	40	18	19	19	7	8	5	21	17	44	0	0	0	23	29	14
CNAG_06694_1	508021	508021	1	+	utr5E	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_06694_2	508737	508741	5	+	utr3E	18	25	19	9	6	8	21	17	15	14	13	16	18	5	16	12	20	4	11	4	19	8	8	27	22	33	17
CNAG_06696_1	513273	513336	64	+	utr3E	647	757	510	324	69	218	101	113	71	489	619	459	144	202	246	78	89	36	113	99	258	52	53	82	116	216	119
CNAG_06697_1	517208	517233	26	+	utr3E	66	87	71	31	19	33	20	20	15	18	18	30	28	30	39	12	18	8	23	17	61	1	2	3	24	50	28
CNAG_06699_1	525608	525699	92	+	utr3E	0	0	0	1728	509	1176	705	797	727	888	1026	877	1093	1310	1802	574	843	376	900	765	2397	785	696	1045	466	1066	516
CNAG_07177_1	473573	473662	90	+	utr3E	630	1028	700	282	72	157	42	72	52	261	272	248	71	126	159	34	53	16	92	51	174	55	41	46	50	85	63
CNAG_07177_2	474834	474836	3	+	utr3E	20	30	26	2	1	2	2	2	2	13	29	32	2	1	5	0	0	0	3	1	1	10	2	10	12	12	5
CNAG_07657_1	77865	77961	97	+	utr3E	95	125	96	89	22	38	6	13	10	32	30	23	15	26	28	6	4	4	18	20	56	29	19	24	35	42	23
CNAG_07659_1	153479	153481	3	+	utr3E	37	83	53	19	9	13	18	36	20	6	8	14	12	18	19	14	26	10	22	16	30	16	13	28	12	14	2
CNAG_07661_1	187842	187860	19	+	utr3E	11	7	6	0	0	0	1	4	3	15	10	11	6	2	10	2	6	1	6	2	5	10	4	5	6	16	11
CNAG_07661_2	188032	188042	11	+	utr3E	4	9	4	0	0	0	0	0	0	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2
CNAG_07668_1	603075	603075	1	+	utr3E	2	4	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNAG_07668_2	603144	603149	6	+	utr3E	9	12	9	4	2	3	7	11	8	3	2	2	4	2	2	0	0	0	3	3	4	1	2	1	3	8	2
CNAG_07668_3	603149	603149	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	3	3	4	1	2	1	0	0	0
CNAG_07669_1	671761	671785	25	+	utr3E	0	0	0	56	12	28	27	41	20	58	57	50	15	29	44	15	22	9	28	22	65	21	13	20	7	15	8
CNAG_07671_1	778754	778761	8	+	utr3E	262	390	305	131	21	79	58	113	82	300	293	252	83	74	112	69	116	44	54	51	192	9	4	12	44	112	40
CNAG_07672_1	779367	779367	1	+	cdsE	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	4	0	0	0
