name	start	stop	size	strand	location	WT_Expo30_a	WT_Expo30_b	WT_Expo30_c	WT_Expo37_a	WT_Expo37_b	WT_Expo37_c	WT_Stat30_a	WT_Stat30_b	WT_Stat30_c	WT_Stat37_a	WT_Stat37_b	WT_Stat37_c	upf1_Expo30_a	upf1_Expo30_b	upf1_Expo30_c	pab2_Expo30_a	pab2_Expo30_b	pab2_Expo30_c
CNF02760_1	790973	790983	11	+	utr3E	393	291	238	323	240	173	281	246	290	533	491	388	336	208	192	81	33	51
CNF02850_1	816170	816229	60	+	utr3E	70	77	47	31	16	19	23	15	18	36	36	36	27	38	27	57	52	68
CNF02870_1	820604	820646	43	+	utr3E	28	20	13	42	29	16	9	18	13	29	31	31	12	18	16	8	7	3
CNF02900_1	827656	827666	11	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	10	12
CNF02900_2	827721	827721	1	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	3
CNF02900_3	829787	829817	31	+	utr3E	46	21	11	10	6	7	9	17	20	16	23	12	27	20	12	17	6	12
CNF02920_1	832375	832462	88	+	utr3E	452	190	107	261	145	103	686	609	855	431	525	412	135	109	108	92	51	56
CNF02940_1	837174	837183	10	+	cdsE	19	10	7	7	7	5	37	35	38	46	40	41	38	25	22	5	4	3
CNF02940_2	838267	838267	1	+	utr3E	11	3	1	0	0	0	0	0	0	0	0	0	2	2	2	2	1	2
CNF02940_3	838366	838421	56	+	utr3E	27	45	25	25	26	10	64	46	72	75	71	50	53	33	46	0	0	0
CNF02950_1	840410	840426	17	+	utr3E	782	348	297	530	312	320	188	163	225	279	301	217	471	400	298	107	47	91
CNF02970_1	845468	845468	1	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	5
CNF02970_2	845807	845810	4	+	cdsE	2	2	2	0	0	0	10	2	3	6	2	4	4	5	4	1	2	2
CNF02970_3	845917	845917	1	+	cdsE	8	5	1	6	4	4	2	2	2	5	5	1	6	3	2	7	4	4
CNF02970_4	849380	849411	32	+	utr3E	63	36	22	83	55	44	18	16	16	42	58	32	27	11	12	30	17	16
CNF02980_1	853953	854031	79	+	utr3E	61	34	21	67	35	22	10	13	21	37	43	30	61	64	40	42	42	43
CNF03020_1	863730	863738	9	+	utr3E	7	1	1	8	3	2	3	5	6	6	8	7	11	8	8	0	0	0
CNF03020_2	863820	863828	9	+	utr3E	3	3	2	3	4	1	8	4	6	8	13	7	11	7	5	0	0	0
CNF03020_3	864001	864010	10	+	utr3E	2	2	2	0	0	0	8	10	7	0	0	0	6	3	2	0	0	0
CNF03170_1	941462	941462	1	+	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	8
CNF03170_2	941491	941492	2	+	cdsE	2	7	4	0	0	0	28	27	31	32	22	23	0	0	0	0	0	0
CNF03170_3	942760	942818	59	+	cdsE	0	0	0	0	0	0	21	16	18	36	55	46	1	1	1	0	0	0
CNF03170_4	943171	943185	15	+	cdsE	0	0	0	0	0	0	16	18	33	61	82	77	0	0	0	0	0	0
CNF03170_5	943381	943392	12	+	utr3E	38	12	16	31	22	17	105	79	134	287	309	249	7	5	3	16	11	13
CNF03180_1	946724	946800	77	+	utr3E	297	133	115	181	82	97	337	243	446	390	442	370	110	64	66	6	5	5
CNF03185_1	947672	947673	2	+	utr5E	3	1	1	4	2	5	8	3	6	3	4	3	0	0	0	27	8	12
CNF03185_2	948617	948678	62	+	utr3E	68	65	30	10	7	7	4	6	9	7	7	7	37	26	26	8	3	4
CNF03185_3	948763	948763	1	+	utr3E	1	2	4	1	3	1	0	0	0	0	0	0	3	4	3	0	0	0
CNF03185_4	948827	948828	2	+	utr3E	6	2	2	0	0	0	7	5	5	0	0	0	5	3	4	0	0	0
CNF03205_1	955787	955817	31	+	utr5E	15	8	2	16	11	7	30	30	35	9	11	7	3	3	2	208	107	131
CNF03205_2	957335	957360	26	+	utr3E	26	13	10	93	56	43	23	13	20	122	99	92	13	4	7	15	4	12
CNF03215_1	959974	959998	25	+	utr3E	0	0	0	7	9	6	4	2	4	12	15	6	4	4	8	0	0	0
CNF03230_1	962408	962408	1	+	cdsE	34	24	23	6	8	5	5	10	16	14	16	8	15	12	13	7	7	9
CNF03230_2	964657	964659	3	+	utr3E	63	81	45	66	24	28	39	26	37	61	65	61	42	35	34	17	12	17
CNF03250_1	969335	969347	13	+	utr3E	75	170	130	168	116	101	94	95	130	214	213	148	160	120	105	78	27	37
CNF03270_1	977547	977557	11	+	cdsE	1	3	1	2	2	1	1	4	3	9	15	4	5	5	3	0	0	0
CNF03270_2	978158	978160	3	+	utr3E	17	6	12	9	6	9	23	20	17	29	24	25	7	10	4	5	3	2
CNF03270_3	978257	978303	47	+	utr3E	25	42	22	64	44	34	60	53	50	86	87	78	34	30	25	0	0	0
CNF03310_1	983604	983604	1	+	cdsI	21	6	8	6	5	1	11	12	15	14	11	12	6	3	5	2	3	3
CNF03310_2	985053	985064	12	+	utr3E	155	144	88	89	55	49	50	48	67	108	129	105	131	140	126	38	29	46
CNF03330_1	987365	987371	7	+	cdsE	398	244	149	88	62	31	59	63	121	133	163	149	113	114	124	90	55	87
CNF03330_2	991287	991339	53	+	utr3E	61	56	41	22	16	12	26	21	37	47	48	21	26	19	22	9	8	7
CNF03370_1	998906	998947	42	+	utr3E	111	76	55	39	26	12	36	28	50	38	57	46	85	80	79	26	23	23
CNF03370_2	999017	999148	132	+	utr3E	105	116	74	22	18	7	50	45	45	47	74	41	91	45	41	16	9	13
CNF03400_1	1004819	1004865	47	+	utr3E	190	78	44	114	58	37	68	36	72	92	86	75	61	74	60	43	33	43
CNF03420_1	1010176	1010257	82	+	utr3E	137	114	82	27	18	23	53	42	41	51	38	42	49	42	38	38	14	19
CNF03430_1	1013657	1013662	6	+	cdsE	6	4	4	7	1	5	2	1	3	10	16	7	11	6	11	6	2	1
CNF03430_2	1014258	1014258	1	+	utr3E	47	70	45	85	54	64	52	50	58	77	90	61	88	72	58	9	9	16
CNF03450_1	1024604	1024618	15	+	utr3E	16	8	4	44	26	21	17	14	13	22	16	19	1	2	2	0	0	0
CNF03490_1	1034635	1034685	51	+	cdsE	348	366	226	168	87	67	205	179	239	353	349	288	268	246	256	66	36	84
CNF03490_2	1035420	1035428	9	+	utr3E	283	176	118	75	64	39	31	30	36	60	60	49	34	26	44	124	83	120
CNF03510_1	1039085	1039139	55	+	cdsE	0	0	0	0	0	0	22	20	28	109	118	130	10	9	7	0	0	0
CNF03510_2	1039463	1039463	1	+	cdsE	0	0	0	0	0	0	6	11	10	35	25	37	0	0	0	0	0	0
CNF03510_3	1039707	1039831	125	+	utr3E	301	169	129	63	20	16	155	172	224	1071	1127	1153	75	60	71	27	23	19
CNF03520_1	1039893	1039904	12	+	utr5E	48	38	22	8	2	1	164	102	167	306	423	351	4	6	6	1	1	4
CNF03520_2	1041932	1041987	56	+	utr3E	45	17	14	63	52	31	15	11	14	9	14	19	14	9	10	5	2	7
CNF03550_1	1051354	1051361	8	+	cdsE	7	5	7	5	3	1	24	15	29	45	49	31	14	6	10	4	1	1
CNF03550_2	1051471	1051495	25	+	utr3E	304	165	113	32	32	29	100	95	100	196	264	188	66	58	56	25	13	14
CNF03610_1	1060850	1060850	1	+	utr5E	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0
CNF03610_2	1062720	1062720	1	+	utr3E	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNF03610_3	1062796	1062800	5	+	utr3E	3	2	2	5	1	1	0	0	0	6	2	5	0	0	0	0	0	0
CNF03620_1	1065145	1065146	2	+	cdsE	0	0	0	0	0	0	1	3	7	1	1	1	0	0	0	18	2	8
CNF03620_2	1065342	1065444	103	+	utr3E	45	36	28	54	31	39	11	8	12	36	42	40	14	10	7	22	18	20
CNF03640_1	1069824	1069831	8	+	utr3E	57	42	27	19	18	11	24	29	36	64	87	71	25	18	25	7	11	6
CNF03660_1	1072199	1072199	1	+	cdsE	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNF03660_2	1072924	1072931	8	+	cdsE	1	1	1	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0
CNF03660_3	1073092	1073096	5	+	utr3E	11	9	11	25	11	10	4	5	10	10	12	8	11	7	7	10	3	2
CNF03660_4	1073096	1073096	1	+	utr3E	11	9	11	25	11	10	4	5	10	0	0	0	0	0	0	0	0	0
CNF03700_1	1081674	1081768	95	+	utr3E	607	573	398	630	391	222	829	711	1005	727	829	715	505	339	352	136	66	95
CNF03720_1	1086576	1086584	9	+	utr3E	237	175	96	124	79	63	217	219	287	228	207	170	106	87	101	52	27	37
CNF03750_1	1099489	1099501	13	+	cdsE	47	28	21	37	27	16	14	9	17	15	24	13	47	50	41	23	13	17
CNF03750_2	1099619	1099630	12	+	utr3E	318	163	134	185	159	86	62	41	72	49	40	51	122	93	99	74	48	59
CNF03770_1	1107328	1107403	76	+	utr3E	608	318	209	453	245	178	221	177	259	350	340	288	258	176	196	178	111	154
CNF03780_1	1108205	1108229	25	+	cdsI	21	11	5	8	6	7	11	8	12	16	17	14	3	2	4	23	10	13
CNF03780_2	1110989	1111049	61	+	utr3E	1333	920	606	612	337	238	880	681	959	1363	1447	1212	787	547	614	196	91	120
CNF03800_1	1114566	1114569	4	+	utr3E	40	66	40	54	41	37	18	21	26	42	46	41	23	15	22	10	6	4
CNF03830_1	1123462	1123471	10	+	utr3E	56	62	44	119	80	75	51	68	61	54	84	91	66	56	66	17	21	25
CNF03840_1	1124974	1125154	181	+	utr3E	112159	56472	41411	41468	29230	24280	11196	10276	13616	15710	15991	13622	32081	21401	19886	20313	9462	15829
CNF03860_1	1129677	1129714	38	+	utr3E	89	61	43	56	41	30	61	73	66	153	140	127	32	27	29	17	11	7
CNF03880_1	1134265	1134298	34	+	utr3E	767	403	269	201	159	115	103	80	106	118	136	138	326	290	246	181	134	190
CNF03880_2	1134482	1134505	24	+	utr3E	50	26	13	25	13	20	4	4	6	9	11	3	18	14	13	0	0	0
CNF03890_1	1136570	1136573	4	+	utr3E	12	5	5	15	7	3	4	10	25	17	23	15	6	5	6	0	0	0
CNF03890_2	1136720	1136720	1	+	utr3E	0	0	0	4	4	7	3	3	6	9	11	3	0	0	0	0	0	0
CNF03890_3	1137011	1137011	1	+	utr3E	6	4	2	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
CNF03900_1	1139692	1139696	5	+	utr3E	252	182	151	175	112	67	328	252	434	91	71	58	59	32	40	53	46	51
CNF03910_1	1142624	1142632	9	+	utr3E	247	156	105	54	44	24	54	41	68	72	79	77	107	115	95	57	46	54
CNF03930_1	1147175	1147198	24	+	utr3E	165	119	73	78	72	36	63	41	90	98	104	101	47	43	41	35	32	37
CNF03970_1	1155243	1155250	8	+	utr3E	216	93	78	105	51	45	50	36	67	55	69	45	103	61	86	24	9	10
CNF03985_1	1157091	1157093	3	+	utr3E	0	0	0	42	11	11	1	3	3	4	7	8	0	0	0	6	2	3
CNF03985_2	1157093	1157093	1	+	utr3E	0	0	0	0	0	0	1	3	3	4	7	8	0	0	0	6	2	3
CNF04000_1	1162295	1162295	1	+	utr3E	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNF04020_1	1164755	1164755	1	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	3
CNF04020_2	1164769	1164769	1	+	utr5E	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0
CNF04020_3	1166943	1166943	1	+	cdsE	0	0	0	0	0	0	2	3	4	0	0	0	0	0	0	0	0	0
CNF04020_4	1167159	1167159	1	+	cdsE	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0
CNF04070_1	1178254	1178304	51	+	utr3E	163	95	81	70	52	26	73	64	85	110	114	99	79	48	50	46	19	24
CNF04080_1	1183520	1183525	6	+	utr3E	275	215	140	212	157	101	83	67	95	117	117	90	215	133	134	35	24	25
CNF04090_1	1184092	1184092	1	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	1
CNF04090_2	1186435	1186436	2	+	cdsI	0	0	0	8	2	1	2	3	5	13	15	23	0	0	0	0	0	0
CNF04090_3	1186436	1186436	1	+	cdsI	0	0	0	8	2	1	2	3	5	0	0	0	0	0	0	0	0	0
CNF04090_4	1186889	1186890	2	+	utr3E	31	24	23	29	29	13	4	1	4	4	6	3	2	2	1	4	7	3
CNF04090_5	1186890	1186890	1	+	utr3E	0	0	0	0	0	0	4	1	4	0	0	0	0	0	0	4	7	3
CNF04100_1	1189534	1189549	16	+	utr3E	3	1	1	28	22	7	0	0	0	14	17	14	0	0	0	0	0	0
CNF04150_1	1207575	1207679	105	+	utr3E	5622	3868	2619	2024	1660	1065	850	694	931	1400	1321	1043	2667	1436	1494	564	282	368
CNF04160_1	1209248	1209251	4	+	cdsE	26	13	8	10	11	6	12	10	6	17	13	13	19	10	16	5	1	8
CNF04160_2	1210281	1210302	22	+	utr3E	54	32	19	10	11	9	2	4	5	10	9	6	9	10	8	18	8	22
CNF04200_1	1224195	1224203	9	+	utr3E	54	19	20	22	22	9	9	8	8	4	8	5	11	8	5	15	9	18
CNF04200_2	1224374	1224374	1	+	utr3E	4	1	1	6	4	8	0	0	0	6	2	1	0	0	0	5	2	5
CNF04240_1	1233494	1233535	42	+	utr3E	764	457	334	252	165	129	308	316	417	322	326	252	373	266	248	77	48	63
CNF04310_1	1250260	1250266	7	+	utr5E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	6
CNF04310_2	1250274	1250274	1	+	utr5E	4	1	1	0	0	0	3	1	3	3	1	1	1	1	2	0	0	0
CNF04310_3	1251010	1251029	20	+	utr3E	24	13	10	5	4	2	6	3	5	18	24	16	11	12	14	0	0	0
CNF04310_4	1252579	1252624	46	+	utr3I	66	34	28	78	50	50	5	5	11	24	22	16	98	58	67	7	6	6
CNF04310_5	1253184	1253197	14	+	utr3E	6	3	1	15	11	12	2	2	4	18	8	18	0	0	0	14	7	6
CNF04310_6	1254068	1254068	1	+	utr3E	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0
CNF04310_7	1254510	1254512	3	+	utr3E	0	0	0	29	12	11	0	0	0	11	10	15	5	1	1	0	0	0
CNF04340_1	1265121	1265165	45	+	utr3E	140	64	45	211	123	123	48	43	70	156	153	129	69	59	70	7	5	10
CNF04340_2	1265489	1265489	1	+	utr3E	0	0	0	5	2	1	0	0	0	4	4	5	0	0	0	4	2	2
CNF04420_1	1282826	1282843	18	+	utr5E	12	6	2	0	0	0	14	11	21	26	21	16	1	4	2	145	44	86
CNF04420_2	1284186	1284196	11	+	utr3E	201	221	182	19	17	11	925	747	1368	730	810	731	16	8	8	1	5	2
CNF04430_1	1285972	1286021	50	+	utr5E	4	5	2	10	5	5	15	10	7	11	2	4	2	1	1	30	8	16
CNF04430_2	1286833	1286855	23	+	utr3E	66	55	36	203	97	90	881	776	1576	477	582	427	29	16	18	62	34	36
CNF04450_1	1293302	1293309	8	+	utr3E	10600	10240	6214	3269	2347	1652	2451	2135	2597	3384	3295	2638	7425	4596	4864	1797	927	1249
CNF04480_1	1298289	1298292	4	+	cdsI	0	0	0	0	0	0	0	0	0	2	7	2	0	0	0	0	0	0
CNF04480_2	1298555	1298563	9	+	cdsE	16	11	7	0	0	0	12	20	17	11	26	25	3	6	1	1	1	1
CNF04480_3	1300403	1300410	8	+	utr3E	5	2	4	7	2	3	1	2	3	0	0	0	4	3	4	0	0	0
CNF04490_1	1306779	1306846	68	+	utr3E	49	21	23	18	20	15	61	60	70	24	24	13	10	4	8	8	7	11
CNF04500_1	1307707	1307707	1	+	utr5E	0	0	0	0	0	0	3	2	6	0	0	0	0	0	0	0	0	0
CNF04500_2	1309813	1309837	25	+	utr3E	9	3	4	0	0	0	2	2	3	1	3	1	4	3	3	0	0	0
CNF04500_3	1309837	1309837	1	+	utr3E	0	0	0	0	0	0	2	2	3	1	3	1	0	0	0	0	0	0
CNF04520_1	1312442	1312448	7	+	utr5E	0	0	0	1	3	2	4	9	11	2	1	3	0	0	0	15	4	6
CNF04520_2	1313048	1313180	133	+	utr3E	422	259	180	73	54	19	60	60	78	180	213	161	146	123	114	89	67	89
CNF04580_1	1333546	1333646	101	+	utr3E	107	58	62	51	25	19	98	88	104	141	230	137	28	13	15	0	0	0
CNF04610_1	1339184	1339190	7	+	utr5E	16	19	8	12	3	4	48	54	53	20	29	23	5	9	2	242	93	121
CNF04610_2	1340821	1340847	27	+	utr3E	32	24	12	8	4	5	3	1	4	24	26	23	7	11	12	0	0	0
CNF04630_1	1343326	1343327	2	+	utr5E	0	0	0	0	0	0	12	9	6	3	3	2	0	0	0	96	53	42
CNF04630_2	1343327	1343327	1	+	utr5E	0	0	0	0	0	0	12	9	6	3	3	2	0	0	0	0	0	0
CNF04630_3	1345746	1345750	5	+	utr3E	19	15	12	0	0	0	0	0	0	6	8	4	2	2	2	0	0	0
CNF04650_1	1351620	1351631	12	+	utr3E	110	74	44	44	36	24	47	42	50	95	103	67	78	43	48	10	3	4
CNF04650_2	1351692	1351728	37	+	utr3E	331	226	126	182	94	84	71	52	93	106	102	75	146	105	144	97	43	62
CNF04660_1	1352351	1352357	7	+	cdsE	31	13	9	0	0	0	13	14	33	8	10	10	2	3	1	0	0	0
CNF04660_2	1354991	1355060	70	+	utr3E	162	138	80	80	53	35	134	112	202	131	106	132	59	41	59	6	5	4
CNF04680_1	1364008	1364011	4	+	utr3E	0	0	0	0	0	0	1	1	4	10	10	3	4	3	2	1	2	1
CNF04710_1	1371340	1371344	5	+	utr5E	7	7	6	12	13	5	64	53	52	24	35	25	9	6	3	147	57	69
CNF04710_2	1371480	1371482	3	+	utr5E	9	3	2	6	5	3	2	8	4	4	9	7	0	0	0	5	11	5
CNF04710_3	1372396	1372396	1	+	cdsE	2	4	1	3	2	7	1	1	1	0	0	0	0	0	0	3	2	6
CNF04720_1	1375786	1375823	38	+	utr3E	362	231	151	35	41	18	39	52	61	74	59	45	118	61	74	87	62	80
CNF04730_1	1377845	1378028	184	+	utr3E	2548	1424	954	1026	841	569	737	589	848	945	847	626	915	560	506	537	315	351
CNF04740_1	1379961	1379980	20	+	cdsE	73	28	20	40	48	16	25	23	48	65	54	39	120	113	97	17	11	19
CNF04740_2	1380219	1380243	25	+	utr3E	931	529	304	623	438	285	111	102	146	232	221	194	462	292	264	141	65	103
CNF04750_1	1383759	1383770	12	+	utr3E	12	26	16	22	15	8	13	20	25	35	42	26	37	19	28	0	0	0
CNF04760_1	1387860	1387860	1	+	cdsI	1	6	9	5	2	2	2	2	7	12	20	7	0	0	0	2	1	1
CNF04760_2	1388325	1388414	90	+	utr3E	339	246	161	202	123	86	62	52	75	129	168	118	108	77	84	18	7	10
CNF04770_1	1388920	1388993	74	+	utr5I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	19	16
CNF04770_2	1391300	1391303	4	+	utr3E	10	6	5	12	10	4	6	7	8	9	14	13	48	49	49	10	6	6
CNF04780_1	1392468	1392468	1	+	cdsI	0	0	0	0	0	0	3	1	1	1	2	3	0	0	0	0	0	0
CNF04780_2	1393833	1393885	53	+	utr3E	1	1	1	22	9	8	7	7	9	19	20	36	1	4	2	2	3	5
CNF04790_1	1394575	1394579	5	+	utr5E	2	1	1	0	0	0	7	7	7	0	0	0	0	0	0	36	19	31
CNF04790_2	1396394	1396427	34	+	utr3E	126	35	46	249	199	138	13	6	16	22	12	21	31	23	13	21	24	33
CNF04790_3	1396495	1396495	1	+	utr3E	3	3	2	8	7	6	3	1	2	2	5	1	0	0	0	0	0	0
CNF04800_1	1396941	1396942	2	+	cdsE	2	2	1	0	0	0	0	0	0	0	0	0	1	1	1	11	3	7
CNF04800_2	1398709	1398725	17	+	utr3E	43	23	12	65	42	44	4	2	3	69	85	50	23	15	20	1	1	1
CNF04800_3	1399027	1399038	12	+	utr3E	10	4	8	57	56	33	0	0	0	23	20	15	3	1	1	18	10	13
CNF04850_1	1410053	1410081	29	+	utr5E	1	1	2	6	4	3	10	11	18	14	8	11	3	1	2	29	21	12
CNF04850_2	1411645	1411652	8	+	utr3E	8	4	3	20	5	10	0	0	0	8	3	8	5	5	3	4	2	2
CNF04870_1	1417374	1417375	2	+	cdsI	12	5	4	2	7	2	7	4	8	21	20	12	1	6	2	0	0	0
CNF04870_2	1418590	1418591	2	+	cdsE	0	0	0	0	0	0	9	8	9	8	12	12	2	1	1	0	0	0
CNF04870_3	1419552	1419552	1	+	cdsE	0	0	0	0	0	0	5	2	4	2	4	2	1	3	3	0	0	0
CNF04870_4	1419745	1419745	1	+	utr3E	4	5	3	3	2	1	2	2	4	2	5	2	0	0	0	2	1	1
CNF04900_1	1428654	1428660	7	+	utr3E	115	35	49	37	17	18	15	10	18	4	4	6	61	41	41	71	60	130
CNG00020_1	4361	4367	7	+	cdsE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5
CNG00020_2	4684	4684	1	+	utr3E	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4
CNG00020_3	4727	4786	60	+	utr3E	54	29	25	27	25	20	14	9	17	0	0	0	5	10	7	16	8	12
CNG00030_1	7551	7564	14	+	cdsE	0	0	0	0	0	0	9	12	10	12	11	20	4	1	3	0	0	0
CNG00030_2	7647	7647	1	+	cdsE	0	0	0	0	0	0	1	1	1	3	2	1	0	0	0	1	1	4
CNG00030_3	7846	7852	7	+	utr3E	32	37	17	42	22	17	58	32	47	46	46	41	27	15	16	4	2	5
CNG00050_1	12584	12590	7	+	utr3E	11	3	2	37	20	24	10	3	2	9	6	4	309	261	187	0	0	0
CNG00050_2	12800	12804	5	+	utr3E	14	7	2	24	19	16	1	1	1	4	7	12	84	50	57	1	1	1
CNG00050_3	12804	12804	1	+	utr3E	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
CNG00070_1	15234	15234	1	+	utr5E	7	2	5	17	7	4	2	1	2	0	0	0	0	0	0	15	5	6
CNG00070_2	15306	15338	33	+	utr5E	0	0	0	5	5	3	1	1	2	0	0	0	1	2	1	23	22	31
CNG00070_3	15338	15338	1	+	utr5E	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0
CNG00070_4	15500	15500	1	+	cdsE	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0
CNG00070_5	17167	17174	8	+	utr3E	12	15	7	19	27	26	8	6	9	13	17	18	19	29	26	8	5	10
CNG00080_1	19497	19539	43	+	utr3E	23	30	25	26	23	9	2	2	4	5	2	12	10	12	8	3	2	5
CNG00080_2	19539	19539	1	+	utr3E	0	0	0	0	0	0	2	2	4	5	2	12	0	0	0	0	0	0
CNG00100_1	21355	21359	5	+	utr5E	16	6	6	0	0	0	0	0	0	3	1	1	0	0	0	40	24	38
CNG00100_2	23045	23084	40	+	utr3E	86	54	34	35	19	14	25	17	30	30	40	35	54	33	31	16	15	15
CNG00110_1	27960	27965	6	+	utr3E	79	29	26	149	94	82	31	27	35	82	81	82	479	387	320	43	18	37
CNG00120_1	30281	30281	1	+	utr5E	6	2	2	18	17	23	13	8	6	7	7	5	44	35	27	14	8	10
CNG00120_2	32367	32368	2	+	utr3E	39	16	13	47	52	39	10	6	11	15	18	16	66	49	67	17	15	13
CNG00120_3	32368	32368	1	+	utr3E	0	0	0	0	0	0	10	6	11	0	0	0	0	0	0	0	0	0
CNG00130_1	34740	34807	68	+	utr3I	926	599	463	265	214	170	99	75	106	136	99	105	349	245	217	248	145	199
CNG00150_1	38730	38837	108	+	utr3E	569	478	304	390	323	190	316	285	414	357	390	285	442	303	313	185	75	131
CNG00160_1	40580	40591	12	+	utr3E	452	223	171	249	153	120	44	34	59	78	75	43	104	66	68	82	49	94
CNG00170_1	46509	46549	41	+	utr3E	533	357	235	283	160	111	83	70	80	171	169	115	207	200	183	238	154	234
CNG00180_1	50630	50644	15	+	utr3E	40	17	13	38	17	17	26	25	16	18	16	23	14	9	6	3	5	5
CNG00240_1	56457	56464	8	+	cdsE	1	2	1	2	2	1	2	1	2	0	0	0	0	0	0	19	3	12
CNG00240_2	59665	59703	39	+	utr3E	333	205	134	206	115	88	223	194	303	260	287	253	254	158	174	69	43	52
CNG00280_1	68346	68426	81	+	utr3E	13	6	6	0	0	0	1	1	1	12	7	8	36	48	26	0	0	0
CNG00280_2	68475	68481	7	+	utr3E	3	2	3	3	5	3	0	0	0	5	2	4	22	14	9	0	0	0
CNG00300_1	71657	71776	120	+	utr3E	11499	6646	4730	2946	2169	1431	1101	1073	1272	1156	1154	926	3717	2226	2332	1100	611	785
CNG00400_1	101376	101377	2	+	utr5E	0	0	0	0	0	0	2	2	5	10	6	8	0	0	0	5	1	5
CNG00400_2	101377	101377	1	+	utr5E	0	0	0	0	0	0	2	2	5	0	0	0	0	0	0	5	1	5
CNG00400_3	104313	104325	13	+	utr3E	4	7	4	3	4	1	16	12	22	13	14	7	3	1	1	0	0	0
CNG00420_1	108902	108946	45	+	utr3E	19	17	15	38	19	15	33	18	44	26	25	31	19	16	9	8	10	4
CNG00440_1	113645	113681	37	+	utr3E	60	37	26	76	59	50	34	39	59	46	45	35	19	12	6	28	17	30
CNG00450_1	115845	115845	1	+	utr3E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1
CNG00450_2	115849	115858	10	+	utr3E	0	0	0	0	0	0	10	10	20	14	27	12	2	3	4	0	0	0
CNG00470_1	119862	119927	66	+	utr3E	17	14	10	100	45	38	19	20	29	122	149	128	6	5	3	1	1	1
CNG00500_1	131142	131186	45	+	utr3E	18	10	14	84	43	54	2	3	8	20	25	10	15	13	11	3	5	6
CNG00550_1	147424	147429	6	+	utr3E	16	17	10	12	14	10	22	28	41	13	19	23	11	7	9	1	3	3
CNG00550_2	147483	147529	47	+	utr3E	8	7	2	6	5	6	4	4	8	7	8	8	1	2	6	4	2	4
CNG00560_1	148917	148930	14	+	cdsE	0	0	0	0	0	0	4	4	10	8	3	4	7	7	4	0	0	0
CNG00560_2	149146	149244	99	+	utr3E	92	61	37	30	20	14	10	8	16	29	38	29	36	21	30	13	6	10
CNG00570_1	151994	152011	18	+	utr3E	142	92	72	108	67	59	59	60	65	106	84	70	87	56	61	31	20	24
CNG00590_1	159725	159791	67	+	utr3E	228	132	88	290	193	152	27	16	29	34	26	14	36	20	31	74	17	18
CNG00650_1	179343	179374	32	+	utr3E	73	40	34	23	8	14	9	20	9	33	31	21	28	32	31	16	8	16
CNG00670_1	187091	187091	1	+	cdsE	4	1	2	0	0	0	4	1	8	1	2	4	5	2	7	2	2	2
CNG00670_2	187187	187252	66	+	utr3E	52	34	16	7	7	3	12	14	16	27	28	25	32	17	17	23	11	8
CNG00690_1	188784	188784	1	+	utr5E	4	1	1	1	1	1	7	3	8	12	12	4	0	0	0	0	0	0
CNG00690_2	189988	189988	1	+	cdsI	0	0	0	0	0	0	2	1	2	0	0	0	2	1	3	0	0	0
CNG00690_3	189992	190043	52	+	cdsE	8	6	7	5	8	7	0	0	0	0	0	0	0	0	0	69	32	60
CNG00690_4	192178	192191	14	+	utr3E	28	6	7	31	17	19	13	18	15	13	19	12	9	7	6	0	0	0
CNG00700_1	195174	195185	12	+	utr5E	42	38	13	13	10	6	29	29	41	11	15	20	17	9	8	165	55	96
CNG00700_2	197823	197841	19	+	cdsE	12	13	4	12	9	6	17	10	14	24	21	16	0	0	0	22	8	12
CNG00700_3	197892	197893	2	+	cdsE	1	1	1	3	1	1	9	4	6	4	2	10	0	0	0	0	0	0
CNG00700_4	201565	201609	45	+	utr3E	34	35	12	32	23	4	16	23	10	6	3	11	11	5	3	1	2	1
