name	start	stop	size	strand	location	WT_Expo30_a	WT_Expo30_b	WT_Expo30_c	WT_Expo37_a	WT_Expo37_b	WT_Expo37_c	WT_Stat30_a	WT_Stat30_b	WT_Stat30_c	WT_Stat37_a	WT_Stat37_b	WT_Stat37_c
CNAG_02325_1	606219	606475	257	+	utr5E	257	227	145	197	173	155	128	86	104	97	77	79
CNAG_02330_1	591651	591817	167	+	utr5E	2257	2825	2368	2798	2009	2138	342	375	355	600	387	471
CNAG_02332_1	588632	588780	149	+	utr5E	292	396	293	214	192	139	164	144	164	277	146	205
CNAG_02332_2	589489	589655	167	+	cdsE	1	1	1	5	3	4	4	4	4	41	28	34
CNAG_02334_1	583748	583822	75	+	utr5E	3	2	4	6	5	4	10	5	8	13	11	16
CNAG_02334_2	584861	584920	60	+	cdsE	0	0	0	18	19	11	0	0	0	0	0	0
CNAG_02334_3	585388	585388	1	+	cdsE	0	0	0	0	0	0	11	7	1	10	6	6
CNAG_02336_1	576387	576479	93	+	utr5E	8	11	11	2	4	4	114	76	45	41	20	47
CNAG_02336_2	576659	576752	94	+	utr5E	7	5	6	1	1	1	27	25	11	4	3	2
CNAG_02336_3	576800	576800	1	+	cdsE	0	0	0	1	1	1	0	0	0	0	0	0
CNAG_02336_4	576807	576811	5	+	cdsE	3	5	4	0	0	0	23	19	20	0	0	0
CNAG_02336_5	577670	577670	1	+	cdsE	0	0	0	2	1	1	0	0	0	0	0	0
CNAG_02341_1	564780	564908	129	+	utr5E	388	289	231	171	172	141	205	127	121	73	41	46
CNAG_02341_2	567343	567597	255	+	cdsE	115	116	78	38	39	31	45	33	33	7	12	12
CNAG_02344_1	557830	557830	1	+	utr5E	2	1	1	0	0	0	0	0	0	0	0	0
CNAG_02344_2	557837	557841	5	+	utr5E	0	0	0	1	4	5	9	11	8	0	0	0
CNAG_02344_3	557856	557856	1	+	utr5E	0	0	0	0	0	0	0	0	0	4	3	1
CNAG_02344_4	557882	557920	39	+	utr5E	5	5	3	0	0	0	0	0	0	0	0	0
CNAG_02344_5	557926	557941	16	+	utr5E	0	0	0	2	3	3	0	0	0	0	0	0
CNAG_02344_6	558036	558110	75	+	utr5E	0	0	0	1	2	1	26	34	33	0	0	0
CNAG_02344_7	558522	558522	1	+	cdsE	1	3	2	1	1	1	1	4	2	0	0	0
CNAG_02347_1	553183	553402	220	+	utr5E	74	84	83	71	53	46	386	330	294	598	471	480
CNAG_02350_1	546419	546521	103	+	utr5E	0	0	0	0	0	0	5	9	11	20	11	14
CNAG_02350_2	546637	546756	120	+	utr5E	100	146	109	71	66	77	95	85	72	49	37	44
CNAG_02350_3	547360	547460	101	+	cdsE	1	1	1	2	3	2	2	5	2	36	19	31
CNAG_02353_1	532866	532935	70	+	utr5E	31	33	42	32	40	30	103	93	121	17	13	12
CNAG_02355_1	529071	529120	50	+	utr5E	46	58	29	76	66	62	25	33	30	54	39	37
CNAG_02355_2	530314	530351	38	+	cdsE	0	0	0	9	14	9	2	1	1	1	2	1
CNAG_02357_1	525112	525322	211	+	utr5E	247	185	101	177	163	136	134	91	88	58	38	52
CNAG_02359_1	522813	522912	100	+	utr5E	1518	2527	2164	3015	1868	2381	641	681	671	1569	1031	1664
CNAG_02360_1	521183	521341	159	+	utr5E	295	239	179	199	196	179	215	162	128	68	29	61
CNAG_02361_1	518119	518271	153	+	utr5E	121	155	161	117	96	102	102	86	84	212	114	197
CNAG_02362_1	515047	515171	125	+	utr5E	747	663	388	847	627	571	788	764	644	1138	644	963
CNAG_02363_1	512474	512522	49	+	utr5E	0	0	0	0	0	0	3	5	4	1	1	1
CNAG_02363_2	512827	512902	76	+	cdsE	7	11	4	15	13	16	19	16	15	2	2	2
CNAG_02365_1	507686	507709	24	+	utr5E	0	0	0	5	7	5	4	3	2	5	7	3
CNAG_02365_2	507854	507939	86	+	utr5E	44	91	32	44	25	18	5	6	13	7	8	9
CNAG_02372_1	491175	491256	82	+	utr5E	74	154	85	88	74	78	85	102	90	112	68	77
CNAG_02372_2	491266	491302	37	+	cdsE	0	0	0	11	14	11	0	0	0	0	0	0
CNAG_02372_3	491831	491852	22	+	cdsE	0	0	0	10	19	13	0	0	0	0	0	0
CNAG_02374_1	485156	485228	73	+	utr5E	20	24	13	0	0	0	11	9	9	3	4	3
CNAG_02374_2	487374	487413	40	+	cdsE	0	0	0	0	0	0	0	0	0	3	4	2
CNAG_02374_3	487815	487816	2	+	cdsE	0	0	0	0	0	0	0	0	0	8	5	3
CNAG_02374_4	487869	487887	19	+	cdsE	0	0	0	19	27	18	2	5	4	10	8	4
CNAG_02376_1	479613	479859	247	+	utr5E	1107	1018	790	888	992	789	416	306	316	263	185	197
CNAG_02377_1	477543	477678	136	+	utr5E	1278	1566	1184	961	784	696	424	414	433	291	152	197
CNAG_02382_1	469793	469819	27	+	utr5E	67	160	170	83	68	66	83	101	78	38	29	45
CNAG_02382_2	470685	470710	26	+	cdsE	0	0	0	2	2	3	0	0	0	5	6	6
CNAG_02384_1	467124	467159	36	+	utr5E	10	7	5	1	1	2	8	12	6	4	3	4
CNAG_02384_2	467217	467217	1	+	utr5E	0	0	0	0	0	0	0	0	0	2	1	1
CNAG_02384_3	467339	467339	1	+	cdsE	1	1	1	0	0	0	0	0	0	0	0	0
CNAG_02385_1	464946	464972	27	+	utr5E	41	51	50	13	11	8	37	39	34	7	4	8
CNAG_02385_2	466184	466184	1	+	cdsE	0	0	0	0	0	0	0	0	0	1	2	1
CNAG_02387_1	461168	461221	54	+	utr5E	160	133	119	103	76	89	79	45	64	44	21	35
CNAG_02387_2	462392	462543	152	+	cdsE	31	37	36	16	19	23	4	2	2	0	0	0
CNAG_02387_3	462855	462861	7	+	cdsE	0	0	0	15	12	16	1	2	2	2	3	1
CNAG_02388_1	459496	459560	65	+	utr5E	29	23	23	18	10	12	61	43	25	12	13	15
CNAG_02388_2	460461	460531	71	+	cdsE	0	0	0	0	0	0	0	0	0	34	17	19
CNAG_02388_3	460601	460639	39	+	cdsE	0	0	0	2	3	2	0	0	0	0	0	0
CNAG_02389_1	455067	455067	1	+	cdsE	1	1	4	0	0	0	0	0	0	0	0	0
CNAG_02392_1	447322	447322	1	+	utr5E	3	2	1	1	3	2	3	3	1	0	0	0
CNAG_02392_2	447463	447463	1	+	utr5E	0	0	0	7	4	4	2	6	1	0	0	0
CNAG_02392_3	448583	448583	1	+	utr5E	2	2	1	0	0	0	2	1	5	0	0	0
CNAG_02392_4	449850	449902	53	+	cdsE	15	11	5	8	5	6	7	3	6	0	0	0
CNAG_02395_1	436884	436913	30	+	utr5E	73	86	55	37	26	31	4	5	3	11	5	4
CNAG_02395_2	439346	439607	262	+	cdsE	99	168	143	102	82	106	60	65	69	43	22	27
CNAG_02396_1	434897	435004	108	+	utr5E	254	294	217	332	222	189	145	164	140	513	337	409
CNAG_02399_1	423992	424097	106	+	utr5E	195	185	134	86	60	71	114	91	78	39	31	37
CNAG_02400_1	422233	422318	86	+	utr5E	149	232	151	203	123	142	97	100	87	87	62	84
CNAG_02402_1	413520	413655	136	+	utr5E	510	321	260	159	252	133	260	195	174	135	72	72
CNAG_02403_1	411891	412000	110	+	utr5E	572	1030	951	629	451	603	490	508	548	360	189	238
CNAG_02406_1	404473	404512	40	+	utr5E	78	94	65	76	90	51	26	25	11	45	16	30
CNAG_02406_2	404574	404615	42	+	cdsE	0	0	0	24	58	36	0	0	0	4	3	2
CNAG_02412_1	385867	385991	125	+	utr5E	658	1057	1389	567	508	466	1267	1257	1090	1229	697	932
CNAG_02414_1	382778	383060	283	+	utr5E	460	687	535	443	417	446	336	308	346	261	167	196
CNAG_02416_1	379886	379938	53	+	utr5E	307	471	422	215	169	181	186	196	206	193	129	158
CNAG_02416_2	380113	380197	85	+	cdsE	0	0	0	8	5	4	20	17	16	39	22	28
CNAG_02417_1	376474	376509	36	+	utr5E	44	64	34	36	37	29	10	8	11	8	12	13
CNAG_02417_2	378118	378155	38	+	cdsE	56	54	31	7	6	11	3	2	6	0	0	0
CNAG_02417_3	379527	379591	65	+	cdsE	1	1	1	10	20	12	3	2	2	1	3	2
CNAG_02419_1	371051	371083	33	+	utr5E	8	6	7	2	1	1	8	5	5	0	0	0
CNAG_02419_2	371807	371807	1	+	cdsE	0	0	0	1	1	1	0	0	0	0	0	0
CNAG_02419_3	372652	372652	1	+	cdsE	0	0	0	0	0	0	0	0	0	1	1	1
CNAG_02419_4	373263	373341	79	+	cdsE	0	0	0	0	0	0	1	1	1	8	9	8
CNAG_02419_5	373344	373344	1	+	cdsE	1	1	1	0	0	0	0	0	0	0	0	0
CNAG_02420_1	368906	368916	11	+	utr5E	0	0	0	2	2	2	0	0	0	0	0	0
CNAG_02421_1	367431	367522	92	+	utr5E	465	613	507	563	380	510	227	266	311	306	217	304
CNAG_02423_1	364051	364101	51	+	utr5E	104	84	52	62	61	58	35	25	23	33	18	28
CNAG_02423_2	365502	365529	28	+	cdsE	71	180	144	48	66	43	58	60	70	23	36	10
CNAG_02423_3	366400	366472	73	+	utr3E	0	0	0	2	3	3	8	4	7	92	36	55
CNAG_02425_1	360110	360135	26	+	utr5E	26	44	48	49	40	34	24	17	18	14	16	7
CNAG_02425_2	360706	360708	3	+	cdsE	0	0	0	0	0	0	0	0	0	3	3	2
CNAG_02425_3	360777	360807	31	+	cdsE	0	0	0	0	0	0	0	0	0	3	3	2
CNAG_02429_1	350842	350842	1	+	cdsE	0	0	0	1	1	1	0	0	0	0	0	0
CNAG_02429_2	351050	351100	51	+	cdsE	0	0	0	2	5	2	0	0	0	1	1	2
CNAG_02430_1	343684	343698	15	+	utr5E	4	2	6	2	3	2	23	9	7	8	4	4
CNAG_02430_2	345854	345854	1	+	cdsE	0	0	0	0	0	0	0	0	0	1	2	1
CNAG_02432_1	338492	338540	49	+	utr5E	71	51	37	13	8	9	52	28	31	15	7	13
CNAG_02432_2	339847	339856	10	+	cdsE	0	0	0	3	3	2	2	2	3	3	7	3
CNAG_02432_3	340399	340452	54	+	cdsE	0	0	0	13	20	22	0	0	0	1	1	1
CNAG_02432_4	341666	341799	134	+	cdsE	2	3	3	2	3	2	1	1	3	23	16	27
CNAG_02434_1	336053	336166	114	+	utr5E	1019	1300	1116	1228	1042	858	507	503	379	445	163	265
CNAG_02435_1	333901	333968	68	+	utr5E	424	520	365	294	200	254	161	192	171	210	160	212
CNAG_02436_1	331198	331249	52	+	utr5E	169	202	237	53	64	33	102	98	95	17	8	15
CNAG_02436_2	333055	333055	1	+	cdsE	0	0	0	0	0	0	0	0	0	1	2	3
CNAG_02438_1	322301	322361	61	+	utr5E	28	33	28	30	20	23	24	31	34	29	25	35
CNAG_02438_2	322956	322993	38	+	cdsE	56	55	48	31	33	21	32	18	27	95	55	63
CNAG_02438_3	323414	323524	111	+	cdsE	7	9	6	7	4	3	10	7	8	34	28	28
CNAG_02440_1	317062	317170	109	+	utr5E	78	73	51	82	84	78	25	27	11	24	14	23
CNAG_02440_2	318043	318179	137	+	cdsE	65	139	90	71	48	86	14	17	20	4	3	6
CNAG_02440_3	318430	318563	134	+	cdsE	101	142	101	94	61	84	21	24	14	12	11	7
CNAG_02442_1	313689	313758	70	+	utr5E	68	109	113	72	34	51	78	81	55	74	44	53
CNAG_02444_1	311307	311397	91	+	utr5E	34	51	24	58	28	35	21	15	14	9	5	8
CNAG_02444_2	311738	311738	1	+	cdsI	0	0	0	0	0	0	1	4	1	1	2	4
CNAG_02444_3	312638	312678	41	+	cdsE	0	0	0	0	0	0	0	0	0	2	2	2
CNAG_02445_1	308847	309002	156	+	utr5E	284	378	260	275	257	268	146	130	139	56	31	60
CNAG_02445_2	310668	310681	14	+	cdsE	0	0	0	4	1	4	3	3	2	9	9	8
CNAG_02446_1	307570	307654	85	+	utr5E	45	34	28	136	89	91	76	49	51	82	68	83
CNAG_02452_1	295961	295989	29	+	utr5E	16	10	13	16	17	12	20	17	18	22	18	22
CNAG_02454_1	287011	287041	31	+	utr5E	53	71	99	56	72	43	41	46	31	42	19	27
CNAG_02454_2	287820	287820	1	+	cdsE	0	0	0	3	6	5	11	3	4	11	2	8
CNAG_02455_1	283942	284160	219	+	utr5E	80	86	81	259	159	204	545	554	462	200	142	192
CNAG_02455_2	285853	285868	16	+	cdsE	5	35	47	27	67	29	85	99	98	27	57	11
CNAG_02455_3	285868	285868	1	+	cdsE	5	35	47	27	67	29	0	0	0	27	57	11
CNAG_02455_4	286103	286316	214	+	cdsE	0	0	0	3	3	5	11	11	17	26	26	29
CNAG_02457_1	274695	274819	125	+	utr5E	532	547	498	337	337	345	278	251	254	124	83	126
CNAG_02457_2	275471	275870	400	+	cdsE	167	207	148	123	118	119	38	43	45	37	16	19
CNAG_02457_3	278050	278200	151	+	utr3E	87	150	130	14	16	20	62	65	86	56	46	36
CNAG_02459_1	267872	267916	45	+	cdsE	95	100	75	70	73	81	39	36	54	57	37	72
CNAG_02459_2	269092	269372	281	+	cdsE	90	87	79	58	53	78	44	48	52	22	16	21
CNAG_02459_3	269434	269462	29	+	cdsE	0	0	0	32	26	23	3	2	3	1	3	1
CNAG_02459_4	269809	269895	87	+	cdsE	0	0	0	0	0	0	0	0	0	21	7	10
CNAG_02464_1	251967	251967	1	+	utr5E	0	0	0	3	1	2	0	0	0	0	0	0
CNAG_02464_2	251988	251988	1	+	utr5E	0	0	0	0	0	0	0	0	0	2	2	2
CNAG_02464_3	252231	252236	6	+	utr5E	0	0	0	1	1	2	2	7	4	4	5	4
CNAG_02464_4	252291	252400	110	+	utr5E	1	2	2	2	2	1	33	35	30	2	4	2
CNAG_02464_5	255790	255790	1	+	cdsE	0	0	0	2	1	1	0	0	0	0	0	0
CNAG_02464_6	256563	256629	67	+	cdsE	0	0	0	2	5	3	0	0	0	6	3	4
CNAG_02464_7	256815	256815	1	+	cdsE	1	1	1	0	0	0	1	1	1	0	0	0
CNAG_02465_1	248696	248696	1	+	utr5E	0	0	0	1	1	2	3	3	5	9	3	5
CNAG_02465_2	248879	249014	136	+	utr5E	34	53	49	89	62	49	18	26	19	12	6	11
CNAG_02467_1	241305	241356	52	+	utr5E	44	64	36	88	76	55	41	49	27	306	140	224
CNAG_02467_2	245098	245101	4	+	cdsE	8	12	11	0	0	0	3	3	2	8	10	8
CNAG_02467_3	245287	245318	32	+	utr3E	10	9	11	2	1	2	0	0	0	6	2	2
CNAG_02469_1	234434	234483	50	+	utr5E	78	110	133	54	43	47	92	83	68	39	38	49
CNAG_02469_2	235371	235373	3	+	cdsE	0	0	0	6	5	6	0	0	0	0	0	0
CNAG_02469_3	235768	235899	132	+	cdsE	0	0	0	3	2	2	23	18	20	113	55	67
CNAG_02471_1	229966	230041	76	+	utr5E	241	189	220	105	146	84	126	113	81	86	52	46
CNAG_02471_2	230235	230393	159	+	cdsE	0	0	0	0	0	0	8	4	6	29	13	24
CNAG_02473_1	224731	224796	66	+	utr5E	46	52	28	62	45	43	194	126	88	95	54	79
CNAG_02473_2	225181	225235	55	+	utr5E	29	28	25	25	19	22	60	69	54	57	27	42
CNAG_02473_3	225834	225954	121	+	cdsE	0	0	0	0	0	0	0	0	0	27	19	32
CNAG_02473_4	226039	226277	239	+	cdsE	0	0	0	6	4	5	6	10	10	83	61	68
CNAG_02476_1	214276	214276	1	+	cdsE	0	0	0	1	2	2	0	0	0	0	0	0
CNAG_02476_2	214390	214390	1	+	cdsE	1	1	1	0	0	0	0	0	0	0	0	0
CNAG_02477_1	211666	211666	1	+	utr5E	1	1	2	0	0	0	0	0	0	0	0	0
CNAG_02477_2	211728	211728	1	+	utr5E	1	4	4	0	0	0	1	2	1	0	0	0
CNAG_02477_3	211856	211866	11	+	cdsE	2	4	1	6	5	2	9	4	3	4	4	4
CNAG_02477_4	212819	212819	1	+	cdsE	0	0	0	0	0	0	0	0	0	4	1	4
CNAG_02477_5	212873	212885	13	+	cdsE	0	0	0	0	0	0	0	0	0	2	3	2
CNAG_02478_1	209860	209885	26	+	utr5E	17	15	12	11	9	8	30	25	31	10	17	14
CNAG_02478_2	210066	210130	65	+	utr5E	22	25	14	3	2	5	1	1	1	0	0	0
CNAG_02479_1	205883	205883	1	+	utr5E	0	0	0	0	0	0	1	1	2	0	0	0
CNAG_02479_2	206370	206370	1	+	utr5E	0	0	0	0	0	0	5	4	4	5	1	3
CNAG_02479_3	206475	206494	20	+	utr5E	3	7	2	0	0	0	3	5	2	0	0	0
CNAG_02480_1	203240	203273	34	+	utr5E	11	17	19	9	5	5	13	17	14	17	11	17
CNAG_02480_2	204594	204614	21	+	cdsE	0	0	0	14	16	13	0	0	0	2	1	5
CNAG_02480_3	204647	204650	4	+	cdsE	3	5	2	0	0	0	0	0	0	0	0	0
CNAG_02480_4	204714	204716	3	+	cdsE	0	0	0	0	0	0	3	5	3	0	0	0
CNAG_02480_5	204962	205124	163	+	cdsE	10	14	9	2	2	2	10	10	10	24	16	19
CNAG_02481_1	199821	199845	25	+	utr5E	8	13	9	0	0	0	2	2	2	0	0	0
CNAG_02481_2	200795	200806	12	+	cdsE	10	8	14	2	2	2	8	5	6	0	0	0
CNAG_02481_3	200876	200908	33	+	cdsE	6	9	12	22	10	13	2	5	4	0	0	0
CNAG_02481_4	200999	201062	64	+	cdsE	4	5	6	3	3	6	7	8	5	1	1	1
CNAG_02481_5	201152	201202	51	+	cdsE	53	58	45	14	16	10	21	12	16	1	1	1
CNAG_02481_6	201384	201426	43	+	cdsE	0	0	0	0	0	0	7	1	3	8	4	7
CNAG_02481_7	201495	201495	1	+	cdsE	0	0	0	0	0	0	0	0	0	3	1	1
CNAG_02484_1	192118	192118	1	+	cdsI	1	2	1	0	0	0	0	0	0	0	0	0
CNAG_02484_2	192123	192211	89	+	cdsI	5	5	1	8	9	10	134	155	133	58	31	32
CNAG_02485_1	190021	190186	166	+	utr5E	1846	2094	1511	1871	1264	1303	937	920	924	1236	1029	1308
CNAG_02488_1	183618	183618	1	+	utr5E	0	0	0	1	1	1	0	0	0	0	0	0
CNAG_02488_2	185702	185794	93	+	cdsE	31	27	22	12	6	7	15	9	11	8	3	7
CNAG_02488_3	186515	186515	1	+	cdsE	0	0	0	0	0	0	0	0	0	1	2	1
CNAG_02490_1	174599	174631	33	+	utr5E	53	75	74	61	61	61	57	54	66	60	49	49
CNAG_02490_2	177187	177229	43	+	cdsE	71	80	62	47	31	38	42	21	26	102	35	47
CNAG_02490_3	178063	178080	18	+	utr3E	12	14	11	46	25	20	35	38	37	48	30	29
CNAG_02492_1	171720	171823	104	+	utr5E	155	254	335	244	193	219	251	224	226	128	85	125
CNAG_02494_1	165520	165541	22	+	utr5E	20	14	12	6	8	6	20	24	19	11	8	5
CNAG_02494_2	165676	165676	1	+	cdsE	0	0	0	1	3	3	0	0	0	0	0	0
CNAG_02494_3	167923	167970	48	+	cdsE	0	0	0	2	2	4	5	4	4	17	15	13
CNAG_02496_1	161391	161435	45	+	utr5E	221	245	201	150	153	113	153	122	105	191	92	144
CNAG_02499_1	152552	152594	43	+	cdsE	0	0	0	0	0	0	0	0	0	4	2	4
CNAG_02500_1	149705	149883	179	+	utr5E	1824	1881	1471	1722	1433	1438	384	367	319	200	92	151
CNAG_02500_2	150195	150382	188	+	cdsE	331	343	238	404	315	344	18	13	19	24	15	11
CNAG_02505_1	140160	140172	13	+	utr5E	4	5	6	6	4	6	11	4	5	1	1	2
CNAG_02505_2	140529	140537	9	+	cdsE	0	0	0	6	6	5	1	4	1	1	2	1
CNAG_02505_3	140632	140687	56	+	cdsE	12	27	32	26	32	28	6	5	5	11	7	8
CNAG_02505_4	141359	141364	6	+	cdsE	0	0	0	0	0	0	0	0	0	17	10	6
CNAG_02505_5	142133	142255	123	+	cdsE	0	0	0	2	1	2	16	11	13	33	22	27
CNAG_02508_1	135593	135744	152	+	utr5E	128	172	161	37	23	24	99	74	74	69	66	62
CNAG_02509_1	134773	134773	1	+	cdsE	1	3	2	0	0	0	4	3	2	1	3	1
CNAG_02510_1	131000	131053	54	+	utr5E	145	112	78	84	69	72	131	101	91	38	39	44
CNAG_02510_2	132603	132662	60	+	cdsE	2	2	2	14	14	11	0	0	0	0	0	0
CNAG_02511_1	125987	126048	62	+	utr5E	640	705	644	556	510	450	806	611	609	360	219	265
CNAG_02512_1	121308	121388	81	+	utr5E	21	12	13	50	50	46	58	46	45	108	107	120
CNAG_02512_2	122375	122387	13	+	cdsE	0	0	0	2	3	2	0	0	0	15	14	16
CNAG_02514_1	117391	117425	35	+	utr5E	6	2	4	14	6	8	21	21	14	27	23	30
CNAG_02514_2	117519	117519	1	+	cdsE	0	0	0	3	7	3	2	1	2	9	12	3
CNAG_02514_3	118107	118107	1	+	cdsI	1	4	2	0	0	0	2	5	2	3	5	2
CNAG_02514_4	118241	118262	22	+	cdsE	1	1	1	0	0	0	2	3	2	21	14	15
CNAG_02514_5	118262	118262	1	+	cdsE	1	1	1	0	0	0	0	0	0	0	0	0
CNAG_02514_6	118316	118514	199	+	cdsE	2	2	3	2	1	2	8	7	5	59	54	44
CNAG_02515_1	115761	115885	125	+	utr5E	131	196	132	57	48	52	98	130	110	56	36	48
CNAG_02515_2	116596	116631	36	+	cdsE	4	6	2	16	22	19	4	2	2	9	3	8
CNAG_02515_3	116873	116952	80	+	cdsE	4	13	5	2	1	2	12	17	8	63	27	28
CNAG_02516_1	112354	112416	63	+	utr5E	2	7	14	20	6	14	23	24	26	39	27	31
CNAG_02516_2	113009	113027	19	+	utr5E	0	0	0	3	2	3	0	0	0	0	0	0
CNAG_02516_3	113705	113787	83	+	cdsE	0	0	0	2	3	3	3	4	4	24	15	13
CNAG_02516_4	114160	114244	85	+	cdsE	0	0	0	5	3	7	0	0	0	0	0	0
CNAG_02516_5	115062	115336	275	+	cdsE	0	0	0	2	1	1	0	0	0	18	12	11
CNAG_02519_1	106434	106495	62	+	utr5E	569	844	869	462	408	409	396	327	347	282	167	252
CNAG_02522_1	100851	100901	51	+	utr5E	82	81	71	52	40	36	64	50	41	50	30	31
CNAG_02522_2	101296	101532	237	+	utr5I	78	74	74	84	66	54	47	31	31	70	45	48
CNAG_02523_1	95531	95559	29	+	utr5E	11	5	4	0	0	0	3	2	1	0	0	0
CNAG_02523_2	98633	98751	119	+	cdsE	9	9	9	3	3	3	3	2	3	42	31	28
CNAG_02523_3	99793	100044	252	+	cdsE	1	1	1	4	4	3	12	11	12	26	16	16
CNAG_02523_4	100112	100122	11	+	cdsE	1	1	1	0	0	0	3	3	3	1	1	1
CNAG_02523_5	100210	100264	55	+	cdsI	2	5	1	23	35	30	0	0	0	21	17	19
CNAG_02525_1	87102	87102	1	+	utr5E	0	0	0	1	1	1	0	0	0	0	0	0
CNAG_02525_2	87105	87158	54	+	utr5E	1	1	1	0	0	0	14	8	11	0	0	0
CNAG_02525_3	90089	90089	1	+	cdsE	0	0	0	1	1	1	0	0	0	0	0	0
CNAG_02525_4	90566	90566	1	+	cdsE	0	0	0	0	0	0	2	2	1	0	0	0
CNAG_02525_5	90632	90632	1	+	cdsE	0	0	0	3	1	3	0	0	0	0	0	0
CNAG_02525_6	90679	90679	1	+	cdsE	1	2	1	0	0	0	0	0	0	0	0	0
CNAG_02528_1	75186	75233	48	+	utr5E	279	267	138	228	205	124	189	167	132	124	53	68
CNAG_02528_2	76565	76793	229	+	cdsE	15	16	11	33	34	41	7	5	5	13	11	8
CNAG_02528_3	78160	78225	66	+	utr3E	1	2	1	19	15	20	5	2	2	57	38	40
CNAG_02530_1	71304	71481	178	+	utr5E	1237	1400	1110	786	746	463	467	580	512	691	477	476
CNAG_02531_1	68647	68647	1	+	utr5E	1	11	14	4	12	2	4	7	4	2	10	2
CNAG_02531_2	70029	70029	1	+	cdsE	0	0	0	0	0	0	1	1	1	0	0	0
CNAG_02531_3	70249	70297	49	+	cdsE	1	1	2	21	14	28	2	3	3	7	14	5
CNAG_02531_4	70587	70644	58	+	cdsE	0	0	0	35	30	41	0	0	0	16	13	5
CNAG_02531_5	70842	70842	1	+	utr3E	0	0	0	2	1	4	0	0	0	8	2	6
CNAG_02532_1	65049	65104	56	+	utr5E	51	69	52	51	64	57	47	31	30	44	29	32
CNAG_02532_2	66398	66539	142	+	cdsE	0	0	0	5	3	3	0	0	0	54	29	39
CNAG_02533_1	62698	62746	49	+	utr5E	88	107	81	62	48	43	90	110	80	265	160	262
CNAG_02533_2	64190	64190	1	+	cdsE	8	53	46	6	20	3	30	34	29	7	9	1
CNAG_02535_1	60117	60148	32	+	utr5E	249	264	295	116	115	108	140	140	124	120	55	75
CNAG_02535_2	60803	60930	128	+	cdsE	0	0	0	0	0	0	1	1	2	22	23	21
CNAG_02539_1	52469	52469	1	+	utr5E	0	0	0	0	0	0	1	1	4	3	1	4
CNAG_02539_2	52474	52474	1	+	utr5E	1	3	4	0	0	0	0	0	0	0	0	0
CNAG_02539_3	52605	52605	1	+	utr5E	0	0	0	2	2	1	4	3	1	0	0	0
CNAG_02539_4	52693	52697	5	+	cdsE	0	0	0	0	0	0	0	0	0	9	10	6
CNAG_02539_5	52766	52803	38	+	cdsI	11	6	9	0	0	0	0	0	0	18	10	15
CNAG_02539_6	53299	53299	1	+	cdsE	2	2	4	0	0	0	9	3	5	0	0	0
CNAG_02539_7	53951	53951	1	+	cdsE	0	0	0	4	5	1	0	0	0	0	0	0
CNAG_02539_8	54706	54706	1	+	cdsE	0	0	0	0	0	0	0	0	0	7	1	2
CNAG_02539_9	55001	55001	1	+	utr3E	0	0	0	1	1	1	0	0	0	0	0	0
CNAG_02541_1	43438	43459	22	+	utr5E	50	73	53	47	43	44	20	24	17	67	52	58
CNAG_02541_2	45546	45585	40	+	cdsE	0	0	0	0	0	0	3	6	3	0	0	0
CNAG_02541_3	47160	47198	39	+	cdsE	6	10	11	0	0	0	2	5	2	0	0	0
CNAG_02541_4	47704	47924	221	+	cdsE	0	0	0	0	0	0	0	0	0	84	55	48
CNAG_02543_1	39399	39492	94	+	utr5E	49	48	65	110	120	138	169	124	132	411	134	223
CNAG_02543_2	39850	39998	149	+	cdsE	0	0	0	47	48	44	7	9	7	10	3	4
CNAG_02543_3	40134	40379	246	+	cdsE	37	61	45	61	38	56	59	54	72	104	68	82
CNAG_02543_4	40822	40883	62	+	cdsE	0	0	0	56	44	44	17	12	14	156	130	127
CNAG_02545_1	37026	37244	219	+	utr5E	6681	8433	6896	6515	5774	5189	2418	2177	2254	1868	932	1207
CNAG_02546_1	35220	35279	60	+	utr5E	65	101	71	94	65	75	45	47	33	55	33	59
CNAG_02546_2	36134	36158	25	+	cdsE	15	17	16	18	15	16	3	3	2	0	0	0
CNAG_02546_3	36278	36349	72	+	cdsE	0	0	0	14	13	14	0	0	0	0	0	0
CNAG_02546_4	36408	36424	17	+	cdsE	0	0	0	20	11	26	0	0	0	2	1	2
CNAG_02548_1	24642	24696	55	+	utr5E	197	351	396	238	209	173	528	592	678	566	321	488
CNAG_02550_1	21149	21335	187	+	utr5E	2859	2623	1823	2343	1822	1806	1278	1100	978	1655	1016	1219
CNAG_02552_1	16050	16177	128	+	cdsE	98	82	46	134	146	80	70	55	41	122	68	126
CNAG_02553_1	14230	14278	49	+	utr5E	12	23	13	14	8	16	7	12	9	12	4	8
CNAG_02556_1	5720	5744	25	+	utr5E	0	0	0	13	7	10	7	13	13	30	18	26
CNAG_02558_1	2206	2206	1	+	utr5E	0	0	0	2	4	1	0	0	0	0	0	0
CNAG_02558_2	2687	2687	1	+	cdsE	1	1	1	0	0	0	0	0	0	0	0	0
CNAG_07626_1	221814	221840	27	+	utr5E	16	11	6	0	0	0	0	0	0	3	1	2
CNAG_07626_2	222142	222182	41	+	utr5E	23	22	9	47	48	26	1	2	1	10	4	4
CNAG_07627_1	260538	260627	90	+	utr5E	115	95	96	4	10	4	19	15	24	2	5	3
